method,property,alpha,latent_displacement,requested_candidates,valid_candidates,valid_fraction,distinct_canonical_structures,median_sa_score,median_delta_sa_vs_seed,median_np_likeness,median_delta_np_vs_seed,median_np_fragment_confidence,sa_nonworsening_fraction_valid_changed,np_nondecreasing_fraction_valid_changed
MolecuLA raw OLS (seed-excluded),FractionCSP3,-89.39393939393939,89.39393939393939,50,50,1.0,50,5.5238660665383605,2.94760012678822,0.8615046086949574,1.799281112245744,0.6165413533834587,0.0,0.98
MolecuLA raw OLS (seed-excluded),FractionCSP3,-86.36363636363637,86.36363636363637,50,50,1.0,50,5.745379119087472,3.3058140333675334,0.8773161966118642,1.7509816746340847,0.6274509803921569,0.0,0.94
MolecuLA raw OLS (seed-excluded),FractionCSP3,-83.33333333333333,83.33333333333333,50,50,1.0,50,5.788119160394723,3.2112328138758164,0.7821575852872558,1.7662672770948242,0.6289428815004263,0.0,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,-80.3030303030303,80.3030303030303,50,50,1.0,50,5.462037677540198,3.014968853941966,0.7978607028066383,1.7159637553901999,0.6322905620360552,0.0,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,-77.27272727272728,77.27272727272728,50,50,1.0,50,5.110378271432149,2.6333540061513254,0.8955976732120614,1.8419135748504947,0.6595744680851063,0.0,0.98
MolecuLA raw OLS (seed-excluded),FractionCSP3,-74.24242424242425,74.24242424242425,50,50,1.0,50,5.31294053923378,2.727901491582799,0.9310845301330468,1.7844597163757454,0.6762096774193549,0.0,0.98
MolecuLA raw OLS (seed-excluded),FractionCSP3,-71.21212121212122,71.21212121212122,50,50,1.0,50,5.11537875899492,2.6799218304187153,0.8500897381819651,1.7821625691584737,0.677122641509434,0.0,0.92
MolecuLA raw OLS (seed-excluded),FractionCSP3,-68.18181818181819,68.18181818181819,50,50,1.0,50,5.19193662505908,2.616924996600691,0.8168795189038287,1.8197341087787744,0.6898989898989899,0.0,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,-65.15151515151516,65.15151515151516,50,50,1.0,50,5.161711926209613,2.6253970770834165,0.836054697359945,1.6346105082369724,0.6854166666666667,0.0,0.98
MolecuLA raw OLS (seed-excluded),FractionCSP3,-62.121212121212125,62.121212121212125,50,50,1.0,50,5.003716315262814,2.5831742680098126,0.7889404826869464,1.579556881819966,0.6964285714285714,0.02,0.96
