method,property,objective,seed_similarity_cutoff,quality_rule,seeds,successful_seeds,success_fraction,median_best_improvement,median_selected_similarity,median_selected_delta_sa,median_selected_delta_np,median_selected_np_confidence,selected_scaffold_retention
ChemSpacE extreme-SVM,BertzCT,maximize,0.6,np_nondecreasing,50,9,0.18,108.9453650666162,0.6451612903225806,0.655386348597748,0.3974861305155927,0.9322033898305084,0.8888888888888888
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.6,np_nondecreasing,50,12,0.24,154.92449468701295,0.6417060294526258,0.7549856863516355,0.46581379582602944,0.9061059907834101,0.5833333333333334
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.0,np_nondecreasing,50,49,0.98,0.6725571725571726,0.0581395348837209,1.8582969362771715,1.0545653544945914,1.0,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.0,np_nondecreasing,50,50,1.0,0.7071428571428571,0.0845238095238095,2.0958170652422012,1.5237068622173298,0.9028301886792454,0.0
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.2,np_nondecreasing,50,20,0.4,0.1909250879839115,0.2788888888888889,1.418462776785283,0.9890784215268061,0.8393250183418929,0.05263157894736842
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.2,np_nondecreasing,50,46,0.92,0.2,0.2666666666666666,1.613170393166948,1.160065314736435,0.8333333333333334,0.021739130434782608
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.4,np_nondecreasing,50,2,0.04,0.12476190476190475,0.4765725288831836,0.9383010997431893,0.7482437362896108,0.9164335664335664,0.5
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.4,np_nondecreasing,50,23,0.46,0.0952380952380952,0.4821428571428571,1.1986430390792968,0.6120437552688889,0.8958333333333334,0.043478260869565216
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.6,np_nondecreasing,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.6,np_nondecreasing,50,5,0.1,0.0999999999999999,0.6521739130434783,1.168356592046118,0.5696364090455186,0.9454545454545454,0.0
ChemSpacE extreme-SVM,HBA,maximize,0.0,np_nondecreasing,50,49,0.98,150.0,0.0410958904109589,5.744062114522508,0.9680655143380242,0.4,0.0
MolecuLA raw OLS (seed-excluded),HBA,maximize,0.0,np_nondecreasing,50,49,0.98,34.0,0.0564516129032258,5.0077876630171545,0.9434296820315284,0.42857142857142855,0.0
ChemSpacE extreme-SVM,HBA,maximize,0.2,np_nondecreasing,50,14,0.28,3.0,0.3037909836065573,1.8461541389535014,0.788177715175986,0.7974565756823822,0.14285714285714285
MolecuLA raw OLS (seed-excluded),HBA,maximize,0.2,np_nondecreasing,50,44,0.88,3.5,0.2974768875192604,1.7946126969766762,0.75723180381075,0.8174242424242424,0.22727272727272727
