method,property,seed_id,requested_transitions,evaluable_transitions,structure_changed_transitions,structure_changed_fraction_evaluable,median_adjacent_tanimoto,q25_adjacent_tanimoto,p05_adjacent_tanimoto,median_absolute_sa_step_changed,p95_absolute_sa_step_changed,median_absolute_np_step_changed,p95_absolute_np_step_changed,median_absolute_property_step_changed,p95_absolute_property_step_changed
ChemSpacE extreme-SVM,HBA,12,99,99,36,0.36363636363636365,1.0,0.44381313131313127,0.11986845711153742,0.5856321766283412,1.8989029982672565,0.3472950499202787,1.5074157439259745,0.0,10.5
ChemSpacE extreme-SVM,HBA,13,99,95,60,0.631578947368421,0.9666666666666667,0.75,0.12083333333333333,0.02585099562035431,2.5800987962086346,0.006941534264987013,0.4849755094774318,0.0,4.499999999999972
ChemSpacE extreme-SVM,HBA,14,99,94,36,0.3829787234042553,1.0,0.7024620220010477,0.14733796296296295,0.23859711982109122,4.168992992470476,0.04495140017046329,1.6505785917622404,0.0,15.0
ChemSpacE extreme-SVM,HBA,15,99,99,28,0.2828282828282828,1.0,0.9666666666666667,0.11613311109833899,0.5833299802037017,2.51540450937021,0.18104323539518663,1.3976272065998872,1.0,13.899999999999991
ChemSpacE extreme-SVM,HBA,16,99,99,37,0.37373737373737376,1.0,0.587919776119403,0.10173796791443851,0.32732925147799463,2.2151199959350314,0.17121353736893336,1.4077371624303416,0.0,12.599999999999987
ChemSpacE extreme-SVM,HBA,17,99,99,29,0.29292929292929293,1.0,1.0,0.11023622047244094,0.6776366579670956,2.9667930624288275,0.12123827839141706,1.3207312774547528,1.0,30.39999999999999
ChemSpacE extreme-SVM,HBA,18,99,99,37,0.37373737373737376,1.0,0.5492753623188406,0.14516885553470918,0.29183407607487943,2.1865002590471914,0.12866841112607452,1.3891499211800868,0.0,13.399999999999991
ChemSpacE extreme-SVM,HBA,19,99,99,36,0.36363636363636365,1.0,0.7367724867724867,0.11213151927437642,0.26988388469545077,2.754920695626569,0.13205783796194565,2.351268782087719,0.5,15.0
ChemSpacE extreme-SVM,HBA,20,99,99,45,0.45454545454545453,1.0,0.6185185185185185,0.1649241964827168,0.17441470013670735,1.681690800896516,0.02088973426589286,1.215857253103309,0.0,11.599999999999994
ChemSpacE extreme-SVM,HBA,21,99,99,58,0.5858585858585859,0.9090909090909091,0.45472972972972975,0.1276062900407688,0.07842288527068764,1.5774682618808027,0.011611595564892812,0.8561012109637983,0.0,8.149999999999999
ChemSpacE extreme-SVM,HBA,22,99,99,43,0.43434343434343436,1.0,0.7537537537537538,0.09064171122994653,0.1978917007783778,1.671365294199646,0.02855651611545818,0.9192857337912432,0.0,18.599999999999994
ChemSpacE extreme-SVM,HBA,23,99,99,37,0.37373737373737376,1.0,0.831764705882353,0.11681139755766622,0.25726356434397246,2.4417893935717236,0.043628010731949995,0.8611356500222123,0.0,16.399999999999928
ChemSpacE extreme-SVM,HBA,24,99,99,40,0.40404040404040403,1.0,0.6892857142857143,0.11052631578947368,0.218133940360008,2.327679806862171,0.039611314590676905,0.8909002758220298,0.0,13.249999999999986
ChemSpacE extreme-SVM,HBA,25,99,99,61,0.6161616161616161,0.875,0.5416901408450705,0.12392857142857143,0.058865173453364505,1.2396030668883036,0.005444505958727272,1.029975333009645,0.0,16.0
