method,property,seed_id,requested_candidates,valid_candidates,distinct_canonical_structures,median_sa_score,median_np_likeness,median_np_fragment_confidence,valid_changed_candidates,median_delta_sa_vs_seed,median_delta_np_vs_seed,median_delta_np_confidence_vs_seed,sa_nonworsening_fraction_valid_changed,np_nondecreasing_fraction_valid_changed,sa_and_np_fraction_valid_changed
MolecuLA raw OLS (seed-excluded),cLogP,42,100,100,61,4.639471853746729,0.46342866894383383,0.7813725490196078,84,1.9870586333323041,0.9486336343237161,-0.15478056426332287,0.11904761904761904,0.8690476190476191,0.05952380952380952
MolecuLA raw OLS (seed-excluded),cLogP,43,100,100,41,3.3214171323165314,0.17427827898390003,0.9,76,1.4694052360167262,1.2184331390302054,-0.11931443638760719,0.05263157894736842,1.0,0.05263157894736842
MolecuLA raw OLS (seed-excluded),cLogP,44,100,100,60,4.2847046448461015,0.5828567230937004,0.8019607843137255,86,2.3026404470881117,0.8476166468167036,-0.20991432068543453,0.023255813953488372,0.8837209302325582,0.0
MolecuLA raw OLS (seed-excluded),cLogP,45,100,100,44,3.6254023762792564,-0.17040464476610737,0.8634429400386847,81,1.3797121045591325,1.4763388890376798,-0.15723981900452488,0.12345679012345678,1.0,0.12345679012345678
MolecuLA raw OLS (seed-excluded),cLogP,46,100,100,56,4.145186964957762,0.31868161859045,0.8317610062893082,88,2.3114786479108833,0.9675204957859951,-0.10069444444444442,0.045454545454545456,0.9090909090909091,0.0
MolecuLA raw OLS (seed-excluded),cLogP,47,100,100,48,4.047543507451747,0.27444945921978153,0.8125,90,1.5684030419626245,1.2736402956861017,-0.14952153110047856,0.0,1.0,0.0
MolecuLA raw OLS (seed-excluded),cLogP,48,100,100,52,3.529354362184984,0.53618736093355,0.8786764705882353,85,1.6486223245188771,1.1501939662459386,-0.1333333333333333,0.023529411764705882,1.0,0.023529411764705882
MolecuLA raw OLS (seed-excluded),cLogP,49,100,100,52,4.495081955834303,0.2849992119148222,0.8,79,1.6094685661767505,1.5131447491364889,-0.22807017543859642,0.012658227848101266,1.0,0.012658227848101266
MolecuLA raw OLS (seed-excluded),BertzCT,0,100,100,50,4.862397158758444,0.0251286675201,0.6666666666666666,93,3.1224429599828936,2.018278341559801,-0.30952380952380953,0.0,1.0,0.0
MolecuLA raw OLS (seed-excluded),BertzCT,1,100,100,49,4.147981853379403,0.4786285547801,0.673658733360226,88,2.3816868733090617,1.6937234337810354,-0.33333333333333337,0.06818181818181818,1.0,0.06818181818181818
