method,scale,property,objective,seed_similarity_cutoff,seeds,successful_seeds,success_fraction,median_best_improvement,median_selected_similarity,median_selected_alpha,median_selected_sa_score_delta,median_eligible_candidates
ChemSpacE adapted extreme-SVM,train_std_unit,TPSA,minimize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,TPSA,minimize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,cLogP,maximize,0.0,50,50,1.0,57.20565999999958,0.0325224748810153,60.0,2.2675650830378693,20.0
ChemSpacE adapted extreme-SVM,train_std_unit,cLogP,maximize,0.2,50,4,0.08,-1.3665999999999998,0.2380261248185776,-15.0,1.488894486173166,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,cLogP,maximize,0.4,50,0,0.0,-0.4530999999999999,0.5483870967741935,-15.0,0.4432630100295593,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,cLogP,maximize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,cLogP,minimize,0.0,50,50,1.0,79.59773999999896,0.015079365079365,-150.0,5.390831452291437,20.0
ChemSpacE adapted extreme-SVM,train_std_unit,cLogP,minimize,0.2,50,7,0.14,1.3665999999999998,0.2380261248185776,-15.0,1.488894486173166,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,cLogP,minimize,0.4,50,1,0.02,0.4530999999999999,0.5483870967741935,-15.0,0.4432630100295593,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,cLogP,minimize,0.6,50,0,0.0,,,,,0.0
MolecuLA continuous OLS,native_l2,BertzCT,maximize,0.0,50,50,1.0,4094.7194700801374,0.061048639297358404,150.0,5.839706454619616,19.0
MolecuLA continuous OLS,native_l2,BertzCT,maximize,0.2,50,34,0.68,191.36596199332325,0.3382352941176471,30.0,1.4478516306240357,3.0
MolecuLA continuous OLS,native_l2,BertzCT,maximize,0.4,50,22,0.44,175.6859964126262,0.4810126582278481,15.0,0.77675500471838,1.0
MolecuLA continuous OLS,native_l2,BertzCT,maximize,0.6,50,11,0.22,113.97297584203073,0.6425806451612903,15.0,0.6718642247442412,0.0
MolecuLA continuous OLS,native_l2,BertzCT,minimize,0.0,50,50,1.0,733.5321357194807,0.028174603174603102,-150.0,0.2094029854312893,19.0
MolecuLA continuous OLS,native_l2,BertzCT,minimize,0.2,50,42,0.84,221.27863252168612,0.2954545454545454,-30.0,0.5543035340432976,3.0
MolecuLA continuous OLS,native_l2,BertzCT,minimize,0.4,50,19,0.38,80.15167355200583,0.5454545454545454,-15.0,0.5543035340432976,1.0
MolecuLA continuous OLS,native_l2,BertzCT,minimize,0.6,50,7,0.14,41.688237995953614,0.6227961645530466,-15.0,0.675604076573947,0.0
MolecuLA continuous OLS,native_l2,FractionCSP3,maximize,0.0,50,50,1.0,0.7105052481764811,0.054669987546699855,90.0,1.9291609360008786,18.0
MolecuLA continuous OLS,native_l2,FractionCSP3,maximize,0.2,50,30,0.6,0.07896103896103895,0.3023537556247836,30.0,1.2421502845572352,1.5
MolecuLA continuous OLS,native_l2,FractionCSP3,maximize,0.4,50,10,0.2,6.938893903907228e-18,0.4823529411764706,-15.0,0.9011521815078308,0.0
MolecuLA continuous OLS,native_l2,FractionCSP3,maximize,0.6,50,2,0.04,-0.0113960113960114,0.6811594202898551,-30.0,0.0240147372998187,0.0
MolecuLA continuous OLS,native_l2,FractionCSP3,minimize,0.0,50,47,0.94,0.2857142857142857,0.04622507122507115,-150.0,3.223752394854044,18.0
MolecuLA continuous OLS,native_l2,FractionCSP3,minimize,0.2,50,27,0.54,0.04985994397759095,0.32540106951871656,-30.0,0.914376708535059,1.5
MolecuLA continuous OLS,native_l2,FractionCSP3,minimize,0.4,50,10,0.2,0.0113960113960114,0.4838709677419355,-30.0,0.7749051816079824,0.0
MolecuLA continuous OLS,native_l2,FractionCSP3,minimize,0.6,50,3,0.06,0.0113960113960114,0.6811594202898551,-30.0,0.0240147372998187,0.0
MolecuLA continuous OLS,native_l2,HBA,maximize,0.0,50,50,1.0,27.5,0.055793323476772155,135.0,4.994753577599232,18.0
MolecuLA continuous OLS,native_l2,HBA,maximize,0.2,50,36,0.72,2.0,0.3703703703703703,30.0,1.2394940893665538,2.0
MolecuLA continuous OLS,native_l2,HBA,maximize,0.4,50,22,0.44,1.0,0.4969879518072289,15.0,0.7728493236522018,1.0
MolecuLA continuous OLS,native_l2,HBA,maximize,0.6,50,5,0.1,1.0,0.6785714285714286,15.0,0.5426318446129619,0.0
MolecuLA continuous OLS,native_l2,HBA,minimize,0.0,50,50,1.0,4.0,0.02128623188405795,-150.0,1.3772973712793766,18.0
MolecuLA continuous OLS,native_l2,HBA,minimize,0.2,50,25,0.5,1.0,0.3793103448275862,-30.0,0.5422518242308536,2.0
MolecuLA continuous OLS,native_l2,HBA,minimize,0.4,50,10,0.2,-0.0,0.49275066367163567,0.0,0.5407897976961364,1.0
MolecuLA continuous OLS,native_l2,HBA,minimize,0.6,50,1,0.02,-0.0,0.6785714285714286,-15.0,0.538947750779311,0.0
MolecuLA continuous OLS,native_l2,HeavyAtomCount,maximize,0.0,50,50,1.0,95.0,0.06611435997400905,135.0,5.606676091408213,18.0
MolecuLA continuous OLS,native_l2,HeavyAtomCount,maximize,0.2,50,33,0.66,5.0,0.3552631578947368,30.0,1.21330034161464,3.0
MolecuLA continuous OLS,native_l2,HeavyAtomCount,maximize,0.4,50,22,0.44,3.0,0.5122927387078331,15.0,0.7270925962380241,1.0
MolecuLA continuous OLS,native_l2,HeavyAtomCount,maximize,0.6,50,6,0.12,2.0,0.6777777777777778,15.0,0.6086146617334025,0.0
MolecuLA continuous OLS,native_l2,HeavyAtomCount,minimize,0.0,50,50,1.0,23.0,0.0,-150.0,4.512268322003392,18.0
MolecuLA continuous OLS,native_l2,HeavyAtomCount,minimize,0.2,50,36,0.72,5.0,0.3376623376623376,-30.0,0.3862301926655291,3.0
MolecuLA continuous OLS,native_l2,HeavyAtomCount,minimize,0.4,50,21,0.42,2.0,0.5122927387078331,-15.0,0.5193297799221526,1.0
MolecuLA continuous OLS,native_l2,HeavyAtomCount,minimize,0.6,50,7,0.14,2.0,0.6559139784946236,-15.0,0.6086146617334025,0.0
MolecuLA continuous OLS,native_l2,TPSA,maximize,0.0,50,50,1.0,193.44500000000005,0.06522509748316194,120.0,3.12489065378244,18.0
MolecuLA continuous OLS,native_l2,TPSA,maximize,0.2,50,40,0.8,41.68,0.3244718309859155,30.0,1.1554809137805737,2.0
MolecuLA continuous OLS,native_l2,TPSA,maximize,0.4,50,23,0.46,23.560000000000002,0.5529943502824859,30.0,0.6538136957619329,1.0
MolecuLA continuous OLS,native_l2,TPSA,maximize,0.6,50,9,0.18,17.07,0.6722724703222159,22.5,0.2862285457777185,0.0
MolecuLA continuous OLS,native_l2,TPSA,minimize,0.0,50,50,1.0,57.785000000000004,0.04,-150.0,0.4449951898967863,18.0
MolecuLA continuous OLS,native_l2,TPSA,minimize,0.2,50,30,0.6,10.115,0.3325552825552825,-30.0,0.6203873003323874,2.0
MolecuLA continuous OLS,native_l2,TPSA,minimize,0.4,50,15,0.3,-0.0,0.5366344605475041,-30.0,0.38946558856854496,1.0
MolecuLA continuous OLS,native_l2,TPSA,minimize,0.6,50,4,0.08,-17.069999999999993,0.6729415904292751,15.0,0.2862285457777185,0.0
MolecuLA continuous OLS,native_l2,cLogP,maximize,0.0,50,50,1.0,43.25789499999982,0.05034974883808265,150.0,3.838725075975389,18.0
MolecuLA continuous OLS,native_l2,cLogP,maximize,0.2,50,30,0.6,1.6301000000000023,0.30991792065663476,30.0,1.22907870745455,2.5
MolecuLA continuous OLS,native_l2,cLogP,maximize,0.4,50,17,0.34,0.727100000000001,0.5087719298245614,15.0,0.6205030246079879,0.5
MolecuLA continuous OLS,native_l2,cLogP,maximize,0.6,50,3,0.06,-0.2504100000000004,0.6278019404483105,-22.5,0.5582629475683336,0.0
MolecuLA continuous OLS,native_l2,cLogP,minimize,0.0,50,50,1.0,4.876550000000001,0.0829037800687285,-105.0,1.312760028635874,18.0
MolecuLA continuous OLS,native_l2,cLogP,minimize,0.2,50,34,0.68,0.9080500000000004,0.3139400921658986,-30.0,0.5108994971191345,2.5
MolecuLA continuous OLS,native_l2,cLogP,minimize,0.4,50,16,0.32,0.4001000000000005,0.5348837209302325,-30.0,0.4636966536224109,0.5
MolecuLA continuous OLS,native_l2,cLogP,minimize,0.6,50,5,0.1,0.2504100000000004,0.6278019404483105,-22.5,0.5582629475683336,0.0
MolecuLA continuous OLS,train_std_unit,BertzCT,maximize,0.0,50,11,0.22,89.4705728039761,0.5,135.0,0.5399073481525782,0.0
MolecuLA continuous OLS,train_std_unit,BertzCT,maximize,0.2,50,11,0.22,89.4705728039761,0.5,135.0,0.5399073481525782,0.0
MolecuLA continuous OLS,train_std_unit,BertzCT,maximize,0.4,50,8,0.16,89.4705728039761,0.625,135.0,0.4543202166466429,0.0
MolecuLA continuous OLS,train_std_unit,BertzCT,maximize,0.6,50,6,0.12,87.51842573872011,0.6733048057932851,135.0,0.5587427462549672,0.0
MolecuLA continuous OLS,train_std_unit,BertzCT,minimize,0.0,50,8,0.16,37.75354623475744,0.5853658536585366,120.0,0.6279827282673995,0.0
MolecuLA continuous OLS,train_std_unit,BertzCT,minimize,0.2,50,8,0.16,37.75354623475744,0.5853658536585366,120.0,0.6279827282673995,0.0
MolecuLA continuous OLS,train_std_unit,BertzCT,minimize,0.4,50,5,0.1,-0.0,0.6229508196721312,-150.0,0.5775781443573562,0.0
MolecuLA continuous OLS,train_std_unit,BertzCT,minimize,0.6,50,3,0.06,-18.20533483945553,0.632172131147541,-15.0,0.6027804363123779,0.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,maximize,0.0,50,3,0.06,0.0358083945040467,0.35084033613445376,-97.5,-0.01288721462105345,0.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,maximize,0.2,50,3,0.06,0.0358083945040467,0.35084033613445376,-97.5,-0.01288721462105345,0.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,maximize,0.4,50,1,0.02,0.0281385281385282,0.5647058823529412,30.0,-0.0257744292421069,0.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,maximize,0.6,50,0,0.0,,,,,0.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,minimize,0.0,50,1,0.02,-0.014069264069264113,0.35753676470588236,-82.5,-0.01288721462105345,0.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,minimize,0.2,50,1,0.02,-0.014069264069264113,0.35753676470588236,-82.5,-0.01288721462105345,0.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,minimize,0.4,50,0,0.0,-0.0281385281385282,0.5647058823529412,30.0,-0.0257744292421069,0.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,minimize,0.6,50,0,0.0,,,,,0.0
MolecuLA continuous OLS,train_std_unit,HBA,maximize,0.0,50,1,0.02,0.0,0.44306638317977787,45.0,0.03075139121249655,0.0
MolecuLA continuous OLS,train_std_unit,HBA,maximize,0.2,50,1,0.02,0.0,0.44306638317977787,45.0,0.03075139121249655,0.0
MolecuLA continuous OLS,train_std_unit,HBA,maximize,0.4,50,1,0.02,0.0,0.5581395348837209,150.0,0.0358114105305862,0.0
MolecuLA continuous OLS,train_std_unit,HBA,maximize,0.6,50,0,0.0,0.0,0.7592592592592593,150.0,0.1492371256936469,0.0
MolecuLA continuous OLS,train_std_unit,HBA,minimize,0.0,50,3,0.06,0.5,0.44306638317977787,15.0,0.01284568594720345,0.0
MolecuLA continuous OLS,train_std_unit,HBA,minimize,0.2,50,3,0.06,0.5,0.44306638317977787,15.0,0.01284568594720345,0.0
MolecuLA continuous OLS,train_std_unit,HBA,minimize,0.4,50,1,0.02,-0.0,0.5647058823529412,45.0,0.0256913718944069,0.0
MolecuLA continuous OLS,train_std_unit,HBA,minimize,0.6,50,0,0.0,-0.0,0.7592592592592593,150.0,0.1492371256936469,0.0
MolecuLA continuous OLS,train_std_unit,HeavyAtomCount,maximize,0.0,50,14,0.28,2.0,0.5258620689655172,135.0,0.6491827750842623,0.0
MolecuLA continuous OLS,train_std_unit,HeavyAtomCount,maximize,0.2,50,14,0.28,2.0,0.5258620689655172,135.0,0.6491827750842623,0.0
MolecuLA continuous OLS,train_std_unit,HeavyAtomCount,maximize,0.4,50,11,0.22,2.0,0.6451612903225806,135.0,0.5751401252880299,0.0
MolecuLA continuous OLS,train_std_unit,HeavyAtomCount,maximize,0.6,50,7,0.14,2.0,0.6746430460074035,142.5,0.45574208158987073,0.0
MolecuLA continuous OLS,train_std_unit,HeavyAtomCount,minimize,0.0,50,6,0.12,-1.0,0.5926829268292683,112.5,0.675604076573947,0.0
MolecuLA continuous OLS,train_std_unit,HeavyAtomCount,minimize,0.2,50,6,0.12,-1.0,0.5926829268292683,112.5,0.675604076573947,0.0
MolecuLA continuous OLS,train_std_unit,HeavyAtomCount,minimize,0.4,50,5,0.1,-2.0,0.6031746031746031,120.0,0.6279827282673995,0.0
MolecuLA continuous OLS,train_std_unit,HeavyAtomCount,minimize,0.6,50,3,0.06,-1.0,0.632172131147541,-15.0,0.6027804363123779,0.0
MolecuLA continuous OLS,train_std_unit,TPSA,maximize,0.0,50,2,0.04,-0.5300000000000011,0.392156862745098,15.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,TPSA,maximize,0.2,50,2,0.04,-0.5300000000000011,0.392156862745098,15.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,TPSA,maximize,0.4,50,1,0.02,-16.089999999999993,0.5235294117647059,-45.0,0.0797446233345509,0.0
MolecuLA continuous OLS,train_std_unit,TPSA,maximize,0.6,50,0,0.0,,,,,0.0
MolecuLA continuous OLS,train_std_unit,TPSA,minimize,0.0,50,4,0.08,4.769999999999996,0.392156862745098,-150.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,TPSA,minimize,0.2,50,4,0.08,4.769999999999996,0.392156862745098,-150.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,TPSA,minimize,0.4,50,1,0.02,16.089999999999993,0.5235294117647059,-45.0,0.0797446233345509,0.0
MolecuLA continuous OLS,train_std_unit,TPSA,minimize,0.6,50,0,0.0,,,,,0.0
MolecuLA continuous OLS,train_std_unit,cLogP,maximize,0.0,50,5,0.1,0.5063000000000004,0.5647058823529412,30.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,cLogP,maximize,0.2,50,5,0.1,0.5063000000000004,0.5647058823529412,30.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,cLogP,maximize,0.4,50,3,0.06,0.5063000000000004,0.5662650602409639,150.0,0.5775781443573562,0.0
MolecuLA continuous OLS,train_std_unit,cLogP,maximize,0.6,50,1,0.02,0.4121000000000014,0.639344262295082,150.0,0.5775781443573562,0.0
MolecuLA continuous OLS,train_std_unit,cLogP,minimize,0.0,50,2,0.04,-0.1541000000000005,0.4712643678160919,30.0,0.1177861278436687,0.0
MolecuLA continuous OLS,train_std_unit,cLogP,minimize,0.2,50,2,0.04,-0.1541000000000005,0.4712643678160919,30.0,0.1177861278436687,0.0
MolecuLA continuous OLS,train_std_unit,cLogP,minimize,0.4,50,1,0.02,-0.1541000000000005,0.5581395348837209,120.0,0.1540637730050846,0.0
MolecuLA continuous OLS,train_std_unit,cLogP,minimize,0.6,50,0,0.0,-0.4121000000000014,0.639344262295082,150.0,0.5775781443573562,0.0
