scale,property,seed_id,alpha,is_rdkit_valid_ols,changed_from_seed_ols,property_delta_ols,expected_signed_improvement_ols,seed_similarity_tanimoto_ols,scaffold_evaluable_ols,scaffold_retained_ols,sa_score_delta_ols,np_likeness_delta_ols,selfies_len_tokens_ols,is_rdkit_valid_chemspace,changed_from_seed_chemspace,property_delta_chemspace,expected_signed_improvement_chemspace,seed_similarity_tanimoto_chemspace,scaffold_evaluable_chemspace,scaffold_retained_chemspace,sa_score_delta_chemspace,np_likeness_delta_chemspace,selfies_len_tokens_chemspace,alpha_sign,absolute_latent_displacement,improvement_difference_chemspace_minus_ols,sa_delta_difference_chemspace_minus_ols,similarity_difference_chemspace_minus_ols
native_l2,FractionCSP3,1,-90.0,True,True,-0.0833333333333332,0.0833333333333332,0.054054054054054,True,False,3.205367276139538,1.9961117483946744,46.0,True,True,-0.1666666666666666,0.1666666666666666,0.0,False,,6.058465884943482,1.296592331124036,154.0,negative,90.0,0.0833333333333334,2.853098608803944,-0.054054054054054
native_l2,FractionCSP3,1,-75.0,True,True,-0.0833333333333332,0.0833333333333332,0.054054054054054,True,False,3.205367276139538,1.9961117483946744,44.0,True,True,-0.1666666666666666,0.1666666666666666,0.0,False,,5.884171464698521,1.287849985540536,154.0,negative,75.0,0.0833333333333334,2.6788041885589826,-0.054054054054054
native_l2,FractionCSP3,1,-60.0,True,True,-0.111111111111111,0.111111111111111,0.0649350649350649,True,False,3.0008995498522566,2.588628078327935,36.0,True,True,-0.1666666666666666,0.1666666666666666,0.0,False,,5.884171464698521,1.287849985540536,154.0,negative,60.0,0.05555555555555561,2.883271914846264,-0.0649350649350649
native_l2,FractionCSP3,1,-45.0,True,True,-0.0490196078431371,0.0490196078431371,0.050632911392405,True,False,3.214495246579532,2.653348359967276,35.0,True,True,-0.1666666666666666,0.1666666666666666,0.0,False,,6.004153680073028,1.3063735722965586,154.0,negative,45.0,0.1176470588235295,2.789658433493496,-0.050632911392405
native_l2,FractionCSP3,1,-30.0,True,True,-0.0128205128205127,0.0128205128205127,0.2419354838709677,True,False,1.405846670500834,0.9566488913088298,26.0,True,True,-0.1666666666666666,0.1666666666666666,0.0,False,,6.004153680073028,1.3063735722965586,154.0,negative,30.0,0.1538461538461539,4.598307009572194,-0.2419354838709677
native_l2,FractionCSP3,1,-15.0,True,False,5.551115123125783e-17,-5.551115123125783e-17,1.0,True,True,0.0,0.0,25.0,True,True,-0.0897435897435896,0.0897435897435896,0.0602409638554216,True,False,4.25999298643261,1.972131383483904,47.0,negative,15.0,0.08974358974358966,4.25999298643261,-0.9397590361445785
native_l2,FractionCSP3,1,0.0,True,False,5.551115123125783e-17,0.0,1.0,True,True,0.0,0.0,25.0,True,False,5.551115123125783e-17,0.0,1.0,True,True,0.0,0.0,25.0,zero,0.0,0.0,0.0,0.0
native_l2,FractionCSP3,1,15.0,True,False,5.551115123125783e-17,5.551115123125783e-17,1.0,True,True,0.0,0.0,25.0,True,True,0.7083333333333334,0.7083333333333334,0.0625,False,,0.864447722624508,2.224596550135085,22.0,positive,15.0,0.7083333333333333,0.864447722624508,-0.9375
native_l2,FractionCSP3,1,30.0,True,True,0.4166666666666667,0.4166666666666667,0.078125,False,,1.8643136265587783,1.516344713534698,24.0,True,True,0.8333333333333334,0.8333333333333334,0.05,False,,2.6057696774553945,1.2309596101761895,154.0,positive,30.0,0.4166666666666667,0.7414560508966161,-0.028124999999999997
native_l2,FractionCSP3,1,45.0,True,True,0.5,0.5,0.056338028169014,False,,2.837419469230843,1.7128726617863632,26.0,True,True,0.8333333333333334,0.8333333333333334,0.05,False,,2.6057696774553945,1.2309596101761895,154.0,positive,45.0,0.33333333333333337,-0.23164979177544875,-0.006338028169014
native_l2,FractionCSP3,1,60.0,True,True,0.6458333333333334,0.6458333333333334,0.0555555555555555,False,,2.362833488980016,1.3213229727579452,28.0,True,True,0.8333333333333334,0.8333333333333334,0.05,False,,2.6057696774553945,1.2309596101761895,154.0,positive,60.0,0.1875,0.24293618847537823,-0.005555555555555494
native_l2,FractionCSP3,1,75.0,True,True,0.7156862745098039,0.7156862745098039,0.0694444444444444,True,False,3.4660358726061125,2.046686438098765,30.0,True,True,0.8333333333333334,0.8333333333333334,0.05,False,,2.6057696774553945,1.2309596101761895,154.0,positive,75.0,0.11764705882352944,-0.860266195150718,-0.019444444444444403
native_l2,FractionCSP3,1,90.0,True,True,0.8333333333333334,0.8333333333333334,0.0416666666666666,True,False,2.790770131213277,2.110367252210088,31.0,True,True,0.8333333333333334,0.8333333333333334,0.05,False,,2.6057696774553945,1.2309596101761895,154.0,positive,90.0,0.0,-0.18500045375788243,0.008333333333333401
native_l2,FractionCSP3,1,105.0,True,True,0.7898550724637682,0.7898550724637682,0.0526315789473684,True,False,2.276108698556179,2.1366983133338904,36.0,True,True,0.8333333333333334,0.8333333333333334,0.05,False,,2.6057696774553945,1.2309596101761895,154.0,positive,105.0,0.04347826086956519,0.32966097889921553,-0.0026315789473683945
native_l2,FractionCSP3,1,120.0,True,True,0.787878787878788,0.787878787878788,0.072463768115942,False,,2.176107884204045,1.6620457338052206,37.0,True,True,0.8333333333333334,0.8333333333333334,0.05,False,,2.6057696774553945,1.2309596101761895,154.0,positive,120.0,0.045454545454545414,0.42966179325134934,-0.022463768115942
