method,scale,property,requested_candidates,valid_count,valid_fraction,raw_unique_count,raw_unique_fraction_total,canonical_unique_count,canonical_unique_fraction_total,training_novel_fraction_total,training_novel_fraction_valid,full_path_valid_fraction,ssr_official_code_compatible,ssr_expected_all_valid,rsr_local_official_code_compatible,rsr_global_official_code_compatible,median_per_seed_spearman,median_per_seed_slope,fraction_seeds_positive_slope,median_expected_sign_fraction,changed_from_seed_fraction_all,median_seed_similarity,scaffold_evaluable_fraction,fraction_at_decoder_token_budget,median_sa_score,median_np_likeness_score,median_per_seed_spearman_sa_score,median_per_seed_spearman_np_likeness
ChemSpacE adapted extreme-SVM,native_l2,HBA,1050,1047,0.9971428571428571,368,0.3504761904761905,366,0.3485714285714286,0.9580952380952381,0.9608404966571156,0.94,0.08,0.08,0.86,0.82,0.9155936261855956,0.7028138528138528,1.0,1.0,0.9514285714285714,0.0285714285714285,0.09933142311365807,0.7857142857142857,4.718797012828133,0.015864731175254543,0.6676514649443496,-0.6180976034103423
ChemSpacE adapted extreme-SVM,train_std_unit,HBA,1050,1049,0.9990476190476191,489,0.4657142857142857,487,0.4638095238095238,0.9580952380952381,0.9590085795996187,0.98,0.02,0.02,0.66,0.56,0.925469343897196,0.6903896103896104,1.0,1.0,0.9533333333333334,0.032258064516129,0.1334604385128694,0.6885714285714286,4.718797012828133,0.015864731175254543,0.6750584390287231,-0.5274173829865882
ChemSpacE adapted extreme-SVM,native_l2,TPSA,1050,1050,1.0,472,0.44952380952380955,471,0.44857142857142857,0.9552380952380952,0.9552380952380952,1.0,0.02,0.02,0.38,0.06,0.8366827688034649,7.541573593073592,1.0,1.0,0.9542857142857143,0.0357142857142857,0.07523809523809524,0.86,4.718797012828133,0.015864731175254543,0.7229075885881211,0.06712558919611729
ChemSpacE adapted extreme-SVM,train_std_unit,TPSA,1050,1050,1.0,557,0.5304761904761904,557,0.5304761904761904,0.96,0.96,1.0,0.02,0.02,0.7,0.14,0.8835665740660956,7.651222943722936,1.0,1.0,0.9542857142857143,0.0363636363636363,0.11904761904761904,0.7857142857142857,4.718797012828133,0.015864731175254543,0.7235894821550172,-0.3481730561603401
ChemSpacE adapted extreme-SVM,native_l2,cLogP,1050,1050,1.0,274,0.26095238095238094,274,0.26095238095238094,0.9628571428571429,0.9628571428571429,1.0,0.26,0.26,0.82,0.66,0.9493763210059684,0.625330242424236,1.0,1.0,0.9542857142857143,0.0266666666666666,0.15428571428571428,0.8123809523809524,5.29601219998,0.015864731175254543,-0.7916774554832156,0.5897847159190592
ChemSpacE adapted extreme-SVM,train_std_unit,cLogP,1050,1050,1.0,436,0.41523809523809524,436,0.41523809523809524,0.9628571428571429,0.9628571428571429,1.0,0.0,0.0,0.82,0.58,0.9735137491113377,0.5724704666666609,1.0,1.0,0.9533333333333334,0.0357142857142857,0.25142857142857145,0.7047619047619048,5.319491103944971,0.015864731175254543,-0.7357812765898231,0.47106601065928244
ChemSpacE adapted extreme-SVM,native_l2,BertzCT,1050,965,0.919047619047619,175,0.16666666666666666,175,0.16666666666666666,0.8809523809523809,0.9585492227979274,0.74,0.06,0.0,0.14,0.12,0.7260928298899045,47.62510991182019,1.0,0.85,0.8733333333333333,0.0126582278481012,0.09844559585492228,0.6095238095238096,7.284354713588849,0.08290753711906493,0.341081463732568,0.5377788828938075
ChemSpacE adapted extreme-SVM,train_std_unit,BertzCT,1050,953,0.9076190476190477,294,0.28,289,0.2752380952380952,0.8685714285714285,0.9569779643231899,0.74,0.08,0.02,0.24,0.1,0.8860247207944114,51.53973680731259,1.0,0.95,0.861904761904762,0.0108695652173913,0.13326337880377753,0.46095238095238095,7.284354713588849,0.08290753711906493,0.19636361361401433,0.5638635674849339
ChemSpacE adapted extreme-SVM,native_l2,HeavyAtomCount,1050,591,0.5628571428571428,316,0.30095238095238097,316,0.30095238095238097,0.5257142857142857,0.934010152284264,0.0,0.26,0.0,0.62,0.46,0.8320918999730094,0.8611888111888109,0.98,1.0,0.5171428571428571,0.0390625,0.14890016920473773,0.47619047619047616,7.98158898607228,0.05300441931990909,0.5894613757563536,0.024833969913157623
ChemSpacE adapted extreme-SVM,train_std_unit,HeavyAtomCount,1050,630,0.6,487,0.4638095238095238,485,0.46190476190476193,0.5628571428571428,0.9380952380952381,0.0,0.3,0.0,0.5,0.34,0.9191189593274343,1.00041625041625,1.0,0.9166666666666666,0.5542857142857143,0.0476190476190476,0.20634920634920634,0.4419047619047619,7.284354713588849,0.07493071100534505,0.5127124253865956,-0.0669974198075434
