scale,property,seed_id,alpha_sign,similarity_rank,ols_alpha,chemspace_alpha,ols_seed_similarity,chemspace_seed_similarity,absolute_similarity_gap,ols_expected_improvement,chemspace_expected_improvement
native_l2,FractionCSP3,3,negative,8,-75.0,-60.0,0.053763440860215055,0.016666666666666666,0.037096774193548385,0.4007352941176471,0.5882352941176471
native_l2,FractionCSP3,3,negative,9,-60.0,-105.0,0.018867924528301886,0.015873015873015872,0.002994908655286014,0.5882352941176471,0.5882352941176471
native_l2,FractionCSP3,3,positive,0,15.0,15.0,1.0,0.05194805194805195,0.948051948051948,0.0,0.4117647058823529
native_l2,FractionCSP3,3,positive,1,30.0,150.0,0.2948717948717949,0.0,0.2948717948717949,0.05882352941176472,0.4117647058823529
native_l2,FractionCSP3,3,positive,2,75.0,135.0,0.13953488372093023,0.0,0.13953488372093023,0.4117647058823529,0.4117647058823529
native_l2,FractionCSP3,3,positive,3,90.0,120.0,0.11702127659574468,0.0,0.11702127659574468,0.3403361344537815,0.4117647058823529
native_l2,FractionCSP3,3,positive,4,105.0,105.0,0.1134020618556701,0.0,0.1134020618556701,0.38146167557932265,0.4117647058823529
native_l2,FractionCSP3,3,positive,5,45.0,90.0,0.1111111111111111,0.0,0.1111111111111111,0.4117647058823529,0.4117647058823529
native_l2,FractionCSP3,3,positive,6,150.0,75.0,0.10309278350515463,0.0,0.10309278350515463,0.403828197945845,0.4117647058823529
native_l2,FractionCSP3,3,positive,7,135.0,60.0,0.08080808080808081,0.0,0.08080808080808081,0.4035002430724356,0.4117647058823529
native_l2,FractionCSP3,3,positive,8,120.0,45.0,0.08080808080808081,0.0,0.08080808080808081,0.38473767885532595,0.4117647058823529
native_l2,FractionCSP3,3,positive,9,60.0,30.0,0.07692307692307693,0.0,0.07692307692307693,0.4117647058823529,0.4117647058823529
native_l2,FractionCSP3,4,negative,0,-15.0,-15.0,1.0,0.061224489795918366,0.9387755102040817,-5.551115123125783e-17,0.25770308123249297
native_l2,FractionCSP3,4,negative,1,-30.0,-135.0,0.22857142857142856,0.03296703296703297,0.1956043956043956,0.14241486068111453,0.3529411764705882
native_l2,FractionCSP3,4,negative,2,-60.0,-105.0,0.15384615384615385,0.028985507246376812,0.12486064659977704,0.26203208556149726,0.3529411764705882
native_l2,FractionCSP3,4,negative,3,-45.0,-150.0,0.14814814814814814,0.02040816326530612,0.12773998488284202,0.1029411764705882,0.3529411764705882
native_l2,FractionCSP3,4,negative,4,-105.0,-120.0,0.10810810810810811,0.012195121951219513,0.0959129861568886,0.18627450980392155,0.3529411764705882
native_l2,FractionCSP3,4,negative,5,-90.0,-90.0,0.08695652173913043,0.0,0.08695652173913043,0.3529411764705882,0.3529411764705882
native_l2,FractionCSP3,4,negative,6,-75.0,-75.0,0.0547945205479452,0.0,0.0547945205479452,0.3529411764705882,0.3529411764705882
native_l2,FractionCSP3,4,negative,7,-120.0,-60.0,0.03896103896103896,0.0,0.03896103896103896,0.17112299465240638,0.3529411764705882
native_l2,FractionCSP3,4,negative,8,-150.0,-45.0,0.018518518518518517,0.0,0.018518518518518517,0.3529411764705882,0.3529411764705882
native_l2,FractionCSP3,4,negative,9,-135.0,-30.0,0.018518518518518517,0.0,0.018518518518518517,0.3529411764705882,0.3529411764705882
native_l2,FractionCSP3,4,positive,0,15.0,15.0,1.0,0.04878048780487805,0.9512195121951219,5.551115123125783e-17,0.541795665634675
native_l2,FractionCSP3,4,positive,1,30.0,150.0,0.17567567567567569,0.041666666666666664,0.13400900900900903,0.11764705882352944,0.6470588235294118
native_l2,FractionCSP3,4,positive,2,60.0,135.0,0.14285714285714285,0.041666666666666664,0.10119047619047619,0.6470588235294118,0.6470588235294118
native_l2,FractionCSP3,4,positive,3,45.0,120.0,0.0989010989010989,0.041666666666666664,0.05723443223443223,0.28342245989304815,0.6470588235294118
native_l2,FractionCSP3,4,positive,4,75.0,105.0,0.08450704225352113,0.041666666666666664,0.04284037558685446,0.5882352941176471,0.6470588235294118
native_l2,FractionCSP3,4,positive,5,135.0,90.0,0.05263157894736842,0.041666666666666664,0.010964912280701754,0.5994397759103641,0.6470588235294118
native_l2,FractionCSP3,4,positive,6,150.0,75.0,0.05,0.041666666666666664,0.008333333333333338,0.6328744263662912,0.6470588235294118
native_l2,FractionCSP3,4,positive,7,120.0,60.0,0.047619047619047616,0.041666666666666664,0.005952380952380952,0.5803921568627451,0.6470588235294118
native_l2,FractionCSP3,4,positive,8,90.0,45.0,0.02564102564102564,0.041666666666666664,0.016025641025641024,0.6470588235294118,0.6470588235294118
native_l2,FractionCSP3,4,positive,9,105.0,30.0,0.02247191011235955,0.041666666666666664,0.019194756554307114,0.6470588235294118,0.6470588235294118
native_l2,FractionCSP3,5,negative,0,-15.0,-15.0,1.0,0.07194244604316546,0.9280575539568345,-5.551115123125783e-17,0.3068783068783068
native_l2,FractionCSP3,5,negative,1,-30.0,-75.0,0.3431372549019608,0.01282051282051282,0.33031674208144796,0.13095238095238088,0.3809523809523809
native_l2,FractionCSP3,5,negative,2,-45.0,-60.0,0.09565217391304348,0.01282051282051282,0.08283166109253066,0.21428571428571422,0.3809523809523809
native_l2,FractionCSP3,5,negative,3,-90.0,-45.0,0.08035714285714286,0.01282051282051282,0.06753663003663005,0.22305764411027562,0.3809523809523809
native_l2,FractionCSP3,5,negative,4,-135.0,-30.0,0.06896551724137931,0.01282051282051282,0.05614500442086649,0.3809523809523809,0.3809523809523809
native_l2,FractionCSP3,5,negative,5,-105.0,-105.0,0.06779661016949153,0.012345679012345678,0.05545093115714585,0.11779448621553879,0.3809523809523809
native_l2,FractionCSP3,5,negative,6,-60.0,-90.0,0.06666666666666667,0.012345679012345678,0.05432098765432099,0.32539682539682535,0.3809523809523809
native_l2,FractionCSP3,5,negative,7,-120.0,-120.0,0.061224489795918366,0.01020408163265306,0.05102040816326531,0.3809523809523809,0.3809523809523809
native_l2,FractionCSP3,5,negative,8,-75.0,-150.0,0.05357142857142857,0.01,0.043571428571428567,0.32212885154061616,0.3809523809523809
native_l2,FractionCSP3,5,negative,9,-150.0,-135.0,0.0425531914893617,0.008771929824561403,0.0337812616648003,0.3809523809523809,0.3809523809523809
native_l2,FractionCSP3,5,positive,0,15.0,15.0,0.5647058823529412,0.06086956521739131,0.5038363171355499,0.02813852813852824,0.47270615563298496
native_l2,FractionCSP3,5,positive,1,135.0,150.0,0.1111111111111111,0.04225352112676056,0.06885758998435054,0.5902706406303528,0.6190476190476191
native_l2,FractionCSP3,5,positive,2,30.0,135.0,0.10569105691056911,0.04225352112676056,0.06343753578380855,0.43722943722943736,0.6190476190476191
