method,scale,property,seed_id,requested_points,valid_points,full_path_valid,property_monotonic_either,property_monotonic_expected,structure_distance_monotonic,raw_path_diverse,canonical_path_diverse,ssr_official_code_compatible,ssr_expected_all_valid,rsr_local_official_code_compatible,rsr_global_official_code_compatible,spearman_alpha_property,slope_property_per_alpha,spearman_alpha_sa_score,slope_sa_score_per_alpha,spearman_alpha_np_likeness,slope_np_likeness_per_alpha,expected_sign_fraction_valid_nonzero,changed_from_seed_fraction_all,changed_from_seed_fraction_valid,median_seed_similarity,scaffold_evaluable_fraction,scaffold_retention_fraction
MolecuLA continuous OLS,native_l2,FractionCSP3,42,21,21,True,False,False,False,True,True,False,False,False,False,0.8432026471798124,0.003522050819109815,-0.05721721352713294,-0.0007218471023311584,0.2834852852026131,0.00245423336675108,0.8,0.8571428571428571,0.8571428571428571,0.0769230769230769,0.9047619047619048,0.15789473684210525
MolecuLA continuous OLS,native_l2,FractionCSP3,43,21,21,True,False,False,False,True,True,False,False,False,False,0.823613528454214,0.0030862509802167706,-0.20006645290811342,-0.0027666358886506946,-0.13620159171920426,-0.001020412352913093,0.8,0.8095238095238095,0.8095238095238095,0.0909090909090909,0.5238095238095238,0.36363636363636365
MolecuLA continuous OLS,native_l2,FractionCSP3,44,21,21,True,False,False,False,True,True,False,False,False,False,0.9460218564484358,0.0038853473702142767,-0.08322503785764791,-0.00031941915281426535,0.015604694598308985,-8.883383220923237e-06,0.9,0.8571428571428571,0.8571428571428571,0.072289156626506,0.6666666666666666,0.21428571428571427
MolecuLA continuous OLS,native_l2,FractionCSP3,45,21,21,True,False,False,False,True,True,False,False,False,False,0.9613264237585575,0.003680856540999556,-0.34384156738896343,-0.0029661257104249433,0.10984730602785411,0.0012857115449819493,0.95,0.9047619047619048,0.9047619047619048,0.074074074074074,0.6666666666666666,0.14285714285714285
MolecuLA continuous OLS,native_l2,FractionCSP3,46,21,21,True,False,False,False,True,True,False,False,False,False,0.8777385663494631,0.003623375365226472,-0.12223677435342035,3.432702159720148e-05,0.06371916960976168,-0.00029985234420131516,0.8,0.8571428571428571,0.8571428571428571,0.0789473684210526,0.8095238095238095,0.17647058823529413
MolecuLA continuous OLS,native_l2,FractionCSP3,47,21,21,True,False,False,False,True,True,False,False,False,False,0.9518261441642182,0.003826077185501817,-0.2652798081712527,-0.0029903726117263742,-0.40182088590645626,-0.002173510414768028,0.95,0.8571428571428571,0.8571428571428571,0.0879120879120879,0.8571428571428571,0.16666666666666666
MolecuLA continuous OLS,native_l2,FractionCSP3,48,21,21,True,False,False,False,True,True,False,False,False,False,0.9654178626133397,0.003984968248126143,-0.37451267035941554,-0.002778675695063943,-0.2093629858606455,-0.0015117248777915778,0.9,0.8571428571428571,0.8571428571428571,0.073170731707317,0.8571428571428571,0.2222222222222222
MolecuLA continuous OLS,native_l2,FractionCSP3,49,21,21,True,False,False,False,True,True,False,False,True,True,0.9605796468617562,0.004099724041295233,-0.24098734625983415,-0.0029545789715103737,-0.08379344384775904,-0.00028185010220594807,0.95,0.9047619047619048,0.9047619047619048,0.09009009009009,0.8571428571428571,0.1111111111111111
MolecuLA continuous OLS,train_std_unit,FractionCSP3,0,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,1,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.5,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,2,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,3,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,4,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.5,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,5,21,21,True,True,True,True,True,True,True,True,True,True,0.8581163303210331,0.00013155675493337887,-0.8581163303210331,-0.00012050382502803452,-0.8581163303210331,-0.0004966662151321747,0.5,0.42857142857142855,0.42857142857142855,1.0,1.0,0.5714285714285714
MolecuLA continuous OLS,train_std_unit,FractionCSP3,6,21,21,True,True,True,True,True,True,True,True,True,True,0.8174238913695991,0.00032323232323232265,0.8174238913695991,0.006675518746443123,0.8174238913695991,0.00384860525564613,0.5,0.6666666666666666,0.6666666666666666,0.392156862745098,1.0,0.3333333333333333
MolecuLA continuous OLS,train_std_unit,FractionCSP3,7,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.5,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,8,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,9,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,10,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,11,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.5,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,12,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,13,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,14,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.5,0.0,0.0,1.0,1.0,1.0
