method,scale,property,seed_id,confound,spearman_alpha_confound,spearman_abs_alpha_confound,slope_confound_per_alpha,slope_confound_per_abs_alpha
ChemSpacE adapted extreme-SVM,native_l2,cLogP,20,token_entropy,-0.07907365367890291,-0.7183436725265597,-0.0002696196998726106,-0.010607615704561098
ChemSpacE adapted extreme-SVM,native_l2,cLogP,21,selfies_len_tokens,0.047352221755862,0.6650940176845692,0.020865800865800737,0.6105651105651103
ChemSpacE adapted extreme-SVM,native_l2,cLogP,21,branch_token_count,-0.039830919403382604,-0.6760047819305053,-0.0009523809523809525,-0.03310401310401313
ChemSpacE adapted extreme-SVM,native_l2,cLogP,21,ring_token_count,-0.0834669013081705,-0.6973907307991023,-0.003203463203463204,-0.05426699426699432
ChemSpacE adapted extreme-SVM,native_l2,cLogP,21,token_entropy,-0.05860829646495666,-0.7831768721507905,-0.0004908660488190948,-0.011133665728311658
ChemSpacE adapted extreme-SVM,native_l2,cLogP,22,selfies_len_tokens,0.04548955918242337,0.6688815821854427,0.019913419913419814,0.6181162981162976
ChemSpacE adapted extreme-SVM,native_l2,cLogP,22,branch_token_count,-0.036960266835718986,-0.6774387026398406,-0.0009523809523809525,-0.04253890253890257
ChemSpacE adapted extreme-SVM,native_l2,cLogP,22,ring_token_count,-0.030305421923751685,-0.6755454951053269,0.0001731601731601732,-0.02941850941850945
ChemSpacE adapted extreme-SVM,native_l2,cLogP,22,token_entropy,-0.053724271759543606,-0.7864435118677907,-0.0004162218992446178,-0.010925242380176448
ChemSpacE adapted extreme-SVM,native_l2,cLogP,23,selfies_len_tokens,0.04166995514515856,0.6745953607943489,0.021991341991341905,0.6805569205569201
ChemSpacE adapted extreme-SVM,native_l2,cLogP,23,branch_token_count,-0.0378817774046896,-0.6755454951053269,-0.0003463203463203464,-0.01998361998362
ChemSpacE adapted extreme-SVM,native_l2,cLogP,23,ring_token_count,-0.036960266835718986,-0.6641276263774438,-0.00043290043290043295,-0.01757575757575759
ChemSpacE adapted extreme-SVM,native_l2,cLogP,23,token_entropy,-0.053724271759543606,-0.7864435118677907,-0.00032267996044076775,-0.009082640611166403
ChemSpacE adapted extreme-SVM,native_l2,cLogP,24,selfies_len_tokens,0.0426464617335219,0.6736355379934416,0.022164502164502085,0.6899918099918095
ChemSpacE adapted extreme-SVM,native_l2,cLogP,24,branch_token_count,-0.004265614232487918,-0.6066235822967462,-0.00025974025974025974,-0.012694512694512706
ChemSpacE adapted extreme-SVM,native_l2,cLogP,24,ring_token_count,-0.031274071937916065,-0.6745863291550414,8.658008658008658e-05,-0.014922194922194931
ChemSpacE adapted extreme-SVM,native_l2,cLogP,24,token_entropy,-0.01216517748906199,-0.741881632670027,-0.00027548082632684407,-0.009238352565859115
ChemSpacE adapted extreme-SVM,native_l2,cLogP,25,selfies_len_tokens,0.043564044015393044,0.6717449578614151,0.018874458874458804,0.5954791154791153
ChemSpacE adapted extreme-SVM,native_l2,cLogP,25,branch_token_count,-0.03598768853445512,-0.6783958980382608,-0.0009523809523809525,-0.03962325962325965
ChemSpacE adapted extreme-SVM,native_l2,cLogP,25,ring_token_count,-0.03219951079398617,-0.6717449578614151,-0.00043290043290043306,-0.03713349713349717
ChemSpacE adapted extreme-SVM,native_l2,cLogP,25,token_entropy,-0.09824907979483294,-0.8133935011303534,-0.00039137310651463666,-0.01191561498179308
ChemSpacE adapted extreme-SVM,native_l2,cLogP,26,selfies_len_tokens,0.043564044015393044,0.6717449578614151,0.022164502164502085,0.6820966420966413
ChemSpacE adapted extreme-SVM,native_l2,cLogP,26,branch_token_count,-0.03598768853445512,-0.6783958980382608,-0.00025974025974025974,-0.020327600327600344
ChemSpacE adapted extreme-SVM,native_l2,cLogP,26,ring_token_count,-0.03598768853445512,-0.6650940176845692,-0.00025974025974025974,-0.020065520065520082
ChemSpacE adapted extreme-SVM,native_l2,cLogP,26,token_entropy,-0.005213647495312281,-0.7479840667812964,-0.0002293752122578224,-0.009691115739879509
ChemSpacE adapted extreme-SVM,native_l2,cLogP,27,selfies_len_tokens,0.0426464617335219,0.6736355379934416,0.019567099567099455,0.6212940212940209
ChemSpacE adapted extreme-SVM,native_l2,cLogP,27,branch_token_count,-0.04075106343425426,-0.6741109335742413,-0.001471861471861472,-0.04588042588042592
ChemSpacE adapted extreme-SVM,native_l2,cLogP,27,ring_token_count,-0.015996053371829688,-0.5659680335713911,0.0003463203463203463,-0.017067977067977084
ChemSpacE adapted extreme-SVM,native_l2,cLogP,27,token_entropy,-0.01216517748906199,-0.741881632670027,-0.0003221820661552052,-0.009626003973010683
ChemSpacE adapted extreme-SVM,native_l2,cLogP,28,selfies_len_tokens,0.04166995514515856,0.6745953607943489,0.021904761904761885,0.697968877968877
ChemSpacE adapted extreme-SVM,native_l2,cLogP,28,branch_token_count,0.004265614232487918,-0.6066235822967462,0.00025974025974025974,-0.012694512694512706
ChemSpacE adapted extreme-SVM,native_l2,cLogP,28,ring_token_count,0.028030595529069405,-0.494692417806554,0.00025974025974025974,-0.0061752661752661805
ChemSpacE adapted extreme-SVM,native_l2,cLogP,28,token_entropy,-0.052096263524405925,-0.7888934916555407,-0.00029471277073735765,-0.008361480529844317
ChemSpacE adapted extreme-SVM,native_l2,cLogP,29,selfies_len_tokens,0.048332656631324834,0.6631768352158439,0.027186147186147102,0.7458804258804255
ChemSpacE adapted extreme-SVM,native_l2,cLogP,29,branch_token_count,-0.003202015769753031,-0.6087617064775657,-8.658008658008658e-05,-0.012694512694512706
ChemSpacE adapted extreme-SVM,native_l2,cLogP,29,ring_token_count,0.003202015769753031,-0.6055492436465496,0.00025974025974025974,-0.01380835380835382
ChemSpacE adapted extreme-SVM,native_l2,cLogP,29,token_entropy,-0.053724271759543606,-0.7864435118677907,-0.00026650115142884395,-0.009904544825868014
ChemSpacE adapted extreme-SVM,native_l2,cLogP,30,selfies_len_tokens,0.043564044015393044,0.6717449578614151,0.021904761904761885,0.6523341523341518
ChemSpacE adapted extreme-SVM,native_l2,cLogP,30,branch_token_count,-0.03885566513498663,-0.6769633070590407,-0.0009523809523809525,-0.034905814905814944
ChemSpacE adapted extreme-SVM,native_l2,cLogP,30,ring_token_count,-0.04070020587844213,-0.7864435118677907,-0.0001731601731601731,-0.03832923832923836
