method,property,seed_id,seed_row_index,spearman_alpha_property,linear_slope_property_per_alpha,seed_moves_expected_direction,expected_sign_fraction_valid_candidates,valid_fraction,changed_from_seed_fraction_all,changed_from_seed_fraction_valid,median_seed_similarity,scaffold_retention_fraction,best_increase,best_decrease
ChemSpacE extreme-SVM,FractionCSP3,47,101769,0.913895797670755,0.004931822593289381,True,0.99,1.0,0.98,0.98,0.0196078431372549,0.16666666666666666,0.5789473684210527,0.4210526315789473
ChemSpacE extreme-SVM,FractionCSP3,48,74811,0.9160535669941177,0.00492387825805122,True,0.98,1.0,0.98,0.98,0.0697674418604651,0.23076923076923078,0.6923076923076923,0.3076923076923077
ChemSpacE extreme-SVM,FractionCSP3,49,657462,0.8947159580888712,0.004943185362492293,True,0.98,1.0,0.98,0.98,0.032258064516129,0.2,0.55,0.45
ChemSpacE extreme-SVM,HBA,0,319669,0.9134393527335448,0.7365960396039606,True,0.98,1.0,0.98,0.98,0.0204081632653061,0.16666666666666666,151.0,3.0
ChemSpacE extreme-SVM,HBA,1,407691,0.9212367264109528,0.730560396039604,True,0.98,1.0,0.98,0.98,0.05,0.3333333333333333,150.0,4.0
ChemSpacE extreme-SVM,HBA,2,357774,0.9178857600569864,0.7246178217821784,True,0.98,1.0,0.98,0.98,0.0636363636363636,0.18181818181818182,152.0,2.0
ChemSpacE extreme-SVM,HBA,3,70896,0.9118581689248572,0.7370534653465349,True,0.98,1.0,0.99,0.99,0.0512820512820512,0.18181818181818182,150.0,4.0
ChemSpacE extreme-SVM,HBA,4,618350,0.9172252347613039,0.7352257425742577,True,0.98,1.0,0.98,0.98,0.0392156862745098,0.18181818181818182,149.0,5.0
ChemSpacE extreme-SVM,HBA,5,771121,0.9146644646490548,0.7376534653465349,True,0.95,1.0,0.98,0.98,0.0422535211267605,0.11764705882352941,145.0,9.0
ChemSpacE extreme-SVM,HBA,6,511472,0.9212660206276242,0.7364712871287129,True,0.96,1.0,0.99,0.99,0.0266666666666666,0.1,145.0,9.0
ChemSpacE extreme-SVM,HBA,7,556492,0.919309832559083,0.7322613861386141,True,0.97,1.0,0.97,0.97,0.0303030303030303,0.3,150.0,4.0
ChemSpacE extreme-SVM,HBA,8,219855,0.9216794189801963,0.7373742574257427,True,0.98,1.0,0.98,0.98,0.0612244897959183,0.18181818181818182,150.0,4.0
ChemSpacE extreme-SVM,HBA,9,354054,0.9230098577068941,0.7376851485148517,True,0.97,1.0,0.98,0.98,0.0967741935483871,0.2222222222222222,149.0,5.0
ChemSpacE extreme-SVM,HBA,10,281634,0.923617524322092,0.7322297029702973,True,0.98,1.0,0.98,0.98,0.0161290322580645,0.2,150.0,4.0
ChemSpacE extreme-SVM,HBA,11,538540,0.9214938747749162,0.7301029702970298,True,0.97,1.0,0.97,0.97,0.075,0.375,151.0,3.0
ChemSpacE extreme-SVM,HBA,12,343969,0.9172219639507209,0.7397564356435646,True,0.98,1.0,0.98,0.98,0.0357142857142857,0.2222222222222222,150.0,4.0
ChemSpacE extreme-SVM,HBA,13,53955,0.9180359905523887,0.7341082594185044,True,0.979381443298969,0.97,0.95,0.979381443298969,0.0,0.375,151.0,3.0
ChemSpacE extreme-SVM,HBA,14,624425,0.9269836560759026,0.7299945593362994,True,0.9791666666666666,0.96,0.94,0.9791666666666666,0.0,0.18181818181818182,149.0,5.0
ChemSpacE extreme-SVM,HBA,15,418215,0.9207349115562704,0.735261386138614,True,0.98,1.0,0.98,0.98,0.0212765957446808,0.2222222222222222,151.0,3.0
ChemSpacE extreme-SVM,HBA,16,397466,0.9195284410700142,0.7315188118811882,True,0.98,1.0,0.98,0.98,0.0178571428571428,0.2,151.0,3.0
ChemSpacE extreme-SVM,HBA,17,602221,0.9170257079673353,0.7383742574257428,True,0.97,1.0,0.99,0.99,0.0166666666666666,0.09090909090909091,148.0,6.0
ChemSpacE extreme-SVM,HBA,18,160039,0.925603415951857,0.7303762376237625,True,0.98,1.0,0.98,0.98,0.0181818181818181,0.18181818181818182,149.0,5.0
ChemSpacE extreme-SVM,HBA,19,667072,0.9218226644305607,0.7307089108910892,True,0.97,1.0,0.98,0.98,0.0181818181818181,0.18181818181818182,148.0,6.0
