property,alpha,latent_displacement,paired_seeds,raw_valid_fraction,chemspace_valid_fraction,raw_median_expected_improvement,chemspace_median_expected_improvement,median_improvement_difference_chemspace_minus_raw,raw_median_seed_similarity,chemspace_median_seed_similarity
BertzCT,65.15151515151516,65.15151515151516,50,1.0,1.0,321.2595574068524,10536.68581662581,10268.617963483986,0.0935935935935936,0.0
BertzCT,68.18181818181819,68.18181818181819,50,1.0,1.0,344.08808010361383,10536.68581662581,10287.97651322114,0.0945382323733863,0.0
BertzCT,71.21212121212122,71.21212121212122,50,1.0,1.0,297.2330806737944,10566.644902981747,10277.424145616107,0.0949874686716792,0.0
BertzCT,74.24242424242425,74.24242424242425,50,1.0,1.0,372.20807621006486,10566.644902981747,10193.474988724227,0.08919160783533857,0.0
BertzCT,77.27272727272728,77.27272727272728,50,1.0,1.0,344.0669139530374,10566.644902981747,10225.232196249997,0.09032634032634032,0.0
BertzCT,80.30303030303031,80.30303030303031,50,1.0,1.0,477.9120451644219,10566.644902981747,10147.915182318808,0.08164115380610226,0.0
BertzCT,83.33333333333334,83.33333333333334,50,1.0,1.0,501.1316046424551,10566.644902981747,10152.21027846263,0.07207792207792207,0.0
BertzCT,86.36363636363637,86.36363636363637,50,1.0,1.0,603.4805516636945,10566.644902981747,10024.204034842662,0.07700966395783,0.0
BertzCT,89.3939393939394,89.3939393939394,50,1.0,1.0,633.4156206541684,10566.644902981747,10044.485114335872,0.08163401306144208,0.0
BertzCT,92.42424242424244,92.42424242424244,50,1.0,1.0,519.4345613378383,10566.644902981747,10024.218319185366,0.07226792009400705,0.0
BertzCT,95.45454545454544,95.45454545454544,50,1.0,1.0,806.4371669619802,10566.644902981747,9955.522961542752,0.07152600170502985,0.0
BertzCT,98.48484848484847,98.48484848484847,50,1.0,1.0,849.1880548277538,10566.644902981747,9908.61061805241,0.06921161030750073,0.0
BertzCT,101.5151515151515,101.5151515151515,50,1.0,1.0,788.7726891398747,10566.644902981747,9841.87471819749,0.0766780989710926,0.0
BertzCT,104.54545454545453,104.54545454545453,50,1.0,1.0,1027.610492443937,10566.644902981747,9710.318667139938,0.06907395358924312,0.0
BertzCT,107.57575757575756,107.57575757575756,50,1.0,1.0,1036.0457272981682,10566.644902981747,9609.614385927005,0.06987032799389778,0.0
BertzCT,110.60606060606062,110.60606060606062,50,1.0,1.0,1752.405787377215,10566.644902981747,8792.813759233313,0.06920498084291188,0.0
BertzCT,113.63636363636363,113.63636363636363,50,1.0,1.0,2538.8850522921157,10566.644902981747,7975.715948347668,0.06628170139120015,0.0
BertzCT,116.66666666666669,116.66666666666669,50,1.0,1.0,3064.1301644468012,10566.644902981747,7441.1070074374575,0.06227781009630922,0.0
BertzCT,119.69696969696969,119.69696969696969,50,1.0,1.0,1827.088056431579,10566.644902981747,8915.927053490415,0.0664635223458753,0.0
BertzCT,122.72727272727275,122.72727272727275,50,1.0,1.0,1997.5348139725777,10566.644902981747,8368.698639753438,0.0582579185520362,0.0
BertzCT,125.75757575757575,125.75757575757575,50,1.0,1.0,2806.5527043133015,10566.644902981747,7671.997769102123,0.058823529411764705,0.0
BertzCT,128.7878787878788,128.7878787878788,50,1.0,1.0,3019.859771330486,10566.644902981747,7790.286705898045,0.05581516095534787,0.0
BertzCT,131.8181818181818,131.8181818181818,50,1.0,1.0,2207.5845044139405,10566.644902981747,8313.095874900133,0.05977815826695451,0.0
BertzCT,134.84848484848487,134.84848484848487,50,1.0,1.0,2914.5349736586977,10566.644902981747,7493.976227326273,0.05809228650137741,0.0
BertzCT,137.87878787878788,137.87878787878788,50,1.0,1.0,3846.885954243211,10566.644902981747,6742.854978503539,0.06112494811124948,0.0
BertzCT,140.90909090909088,140.90909090909088,50,1.0,1.0,3048.5152582183528,10566.644902981747,7234.313203018113,0.06015377657168702,0.0
BertzCT,143.93939393939394,143.93939393939394,50,1.0,1.0,3481.3120740806244,10566.644902981747,7036.155150986615,0.0602048322299553,0.0
BertzCT,146.96969696969694,146.96969696969694,50,1.0,1.0,3119.7761967808838,10566.644902981747,7396.241043458358,0.05839727195225916,0.0
BertzCT,150.0,150.0,50,1.0,1.0,3706.89715246424,10566.644902981747,6808.8539313014,0.06127648163046393,0.0
FractionCSP3,-150.0,150.0,50,1.0,1.0,0.27420824789245835,0.2857142857142857,0.0,0.045047329276538206,0.014835164835164751
FractionCSP3,-146.96969696969697,146.96969696969697,50,1.0,1.0,0.24038461538461536,0.2857142857142857,0.0,0.04951000408329931,0.0161332292479833
FractionCSP3,-143.93939393939394,143.93939393939394,50,1.0,1.0,0.24038461538461536,0.2857142857142857,0.049043062200956944,0.05084745762711865,0.0134234234234234
FractionCSP3,-140.9090909090909,140.9090909090909,50,1.0,1.0,0.23982905982905978,0.2857142857142857,0.05882352941176472,0.05093393289519198,0.0118380498739142
FractionCSP3,-137.87878787878788,137.87878787878788,50,1.0,1.0,0.2517482517482517,0.2857142857142857,0.06458333333333333,0.04941284123837121,0.012143067412422649
FractionCSP3,-134.84848484848484,134.84848484848484,50,1.0,1.0,0.24395604395604392,0.2857142857142857,0.06066176470588236,0.050957481337228175,0.0124458874458874
FractionCSP3,-131.8181818181818,131.8181818181818,50,1.0,1.0,0.21428571428571425,0.2857142857142857,0.0625,0.05064102564102564,0.011437908496732
FractionCSP3,-128.78787878787878,128.78787878787878,50,1.0,1.0,0.21825396825396826,0.2857142857142857,0.06904761904761904,0.05805527468823728,0.011116600790513801
FractionCSP3,-125.75757575757575,125.75757575757575,50,1.0,1.0,0.22444444444444445,0.2857142857142857,0.07179487179487179,0.0514142215173143,0.0116963064295485
FractionCSP3,-122.72727272727272,122.72727272727272,50,1.0,1.0,0.1972569366117753,0.2857142857142857,0.07846153846153847,0.05265491630639618,0.011705914567360299
FractionCSP3,-119.69696969696969,119.69696969696969,50,1.0,1.0,0.19028520499108734,0.2857142857142857,0.08166666666666667,0.05868847754340652,0.01094497607655495
FractionCSP3,-116.66666666666666,116.66666666666666,50,1.0,1.0,0.1857142857142857,0.2857142857142857,0.08514492753623187,0.05454545454545454,0.010582306830906999
FractionCSP3,-113.63636363636364,113.63636363636364,50,1.0,1.0,0.2054334554334554,0.2857142857142857,0.09090909090909091,0.05839727195225916,0.0109903381642512
FractionCSP3,-110.60606060606061,110.60606060606061,50,1.0,1.0,0.19352869352869354,0.2857142857142857,0.09307359307359307,0.060943112038002546,0.011308458982877499
FractionCSP3,-107.57575757575758,107.57575757575758,50,1.0,1.0,0.2,0.2857142857142857,0.10172413793103449,0.058396649133060585,0.0123456790123456
FractionCSP3,-104.54545454545455,104.54545454545455,50,1.0,1.0,0.2071428571428571,0.2857142857142857,0.0889328063241107,0.058823529411764705,0.0123456790123456
FractionCSP3,-101.51515151515152,101.51515151515152,50,1.0,1.0,0.22063492063492063,0.2857142857142857,0.08893280632411067,0.0553551912568306,0.01136510396487145
FractionCSP3,-98.48484848484848,98.48484848484848,50,1.0,1.0,0.20384615384615384,0.2857142857142857,0.09307359307359307,0.06116452991452992,0.00568181818181815
FractionCSP3,-95.45454545454545,95.45454545454545,50,1.0,1.0,0.197480881691408,0.2857142857142857,0.10526315789473684,0.06889830508474576,0.01142894461859975
FractionCSP3,-92.42424242424242,92.42424242424242,50,1.0,1.0,0.21169515669515668,0.2857142857142857,0.11145510835913311,0.0663003663003663,0.00568181818181815
FractionCSP3,-89.39393939393939,89.39393939393939,50,1.0,1.0,0.17541478129713423,0.2857142857142857,0.1,0.06311047889995258,0.0
