method,property,alpha,latent_displacement,requested_candidates,valid_count,valid_fraction,changed_from_seed_count,changed_from_seed_fraction_all,changed_from_seed_fraction_valid,median_property,median_property_delta,median_expected_signed_improvement,expected_sign_fraction_valid,median_seed_similarity,q25_seed_similarity,q75_seed_similarity,scaffold_evaluable_count,scaffold_retention_fraction
MolecuLA raw OLS (seed-excluded),FractionCSP3,-104.54545454545455,104.54545454545455,50,50,1.0,50,1.0,1.0,0.08893280632411067,-0.2071428571428571,0.2071428571428571,0.88,0.058823529411764705,0.04419934640522876,0.07536785042593208,39,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-101.51515151515152,101.51515151515152,50,50,1.0,50,1.0,1.0,0.08893280632411067,-0.22063492063492063,0.22063492063492063,0.86,0.0553551912568306,0.04419934640522876,0.08099547511312218,38,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-98.48484848484848,98.48484848484848,50,50,1.0,50,1.0,1.0,0.09307359307359307,-0.20384615384615384,0.20384615384615384,0.84,0.06116452991452992,0.04407814407814408,0.08169693994436263,41,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-95.45454545454545,95.45454545454545,50,50,1.0,50,1.0,1.0,0.10526315789473684,-0.197480881691408,0.197480881691408,0.86,0.06889830508474576,0.05161943319838057,0.08417787873492923,41,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-92.42424242424242,92.42424242424242,50,50,1.0,50,1.0,1.0,0.11145510835913312,-0.21169515669515668,0.21169515669515668,0.84,0.0663003663003663,0.048352774274905426,0.08364860774818401,38,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-89.39393939393939,89.39393939393939,50,50,1.0,50,1.0,1.0,0.1,-0.17541478129713423,0.17541478129713423,0.88,0.06311047889995258,0.04887820512820513,0.07554945054945056,38,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-86.36363636363637,86.36363636363637,50,50,1.0,50,1.0,1.0,0.11437908496732026,-0.17290209790209787,0.17290209790209787,0.88,0.06451612903225806,0.04975497549754976,0.08225650916104146,43,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-83.33333333333333,83.33333333333333,50,50,1.0,50,1.0,1.0,0.11324786324786325,-0.17634615384615385,0.17634615384615385,0.86,0.06667852062588905,0.053513513513513515,0.08116145415664261,43,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-80.3030303030303,80.3030303030303,50,50,1.0,50,1.0,1.0,0.10526315789473684,-0.18114774114774115,0.18114774114774115,0.9,0.06944444444444445,0.054645354645354645,0.08713093709884467,40,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-77.27272727272728,77.27272727272728,50,50,1.0,50,1.0,1.0,0.1213235294117647,-0.18963675213675216,0.18963675213675216,0.84,0.07362240289069558,0.05442942942942943,0.08962912087912088,38,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-74.24242424242425,74.24242424242425,50,50,1.0,50,1.0,1.0,0.1165158371040724,-0.17719780219780218,0.17719780219780218,0.82,0.08554006968641115,0.05498477929984779,0.09556645686782672,43,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-71.21212121212122,71.21212121212122,50,50,1.0,50,1.0,1.0,0.10025062656641603,-0.20343137254901955,0.20343137254901955,0.82,0.07929669306008383,0.06176021382206949,0.09556645686782672,41,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-68.18181818181819,68.18181818181819,50,50,1.0,50,1.0,1.0,0.11929824561403508,-0.1920995670995671,0.1920995670995671,0.86,0.08695855115758028,0.06704545454545455,0.10854640151515152,44,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-65.15151515151516,65.15151515151516,50,50,1.0,50,1.0,1.0,0.12771739130434784,-0.17131410256410254,0.17131410256410254,0.82,0.09359605911330049,0.06785714285714285,0.1197029702970297,46,0.043478260869565216
MolecuLA raw OLS (seed-excluded),FractionCSP3,-62.121212121212125,62.121212121212125,50,50,1.0,50,1.0,1.0,0.125,-0.17131410256410254,0.17131410256410254,0.82,0.09555223632893536,0.0625207848353841,0.12987736900780378,45,0.022222222222222223
MolecuLA raw OLS (seed-excluded),FractionCSP3,-59.09090909090909,59.09090909090909,50,50,1.0,50,1.0,1.0,0.12771739130434784,-0.12959299959299955,0.12959299959299955,0.84,0.10113796189745557,0.07637362637362638,0.1310935441370224,49,0.02040816326530612
MolecuLA raw OLS (seed-excluded),FractionCSP3,-56.06060606060606,56.06060606060606,50,50,1.0,50,1.0,1.0,0.11555555555555555,-0.15952380952380948,0.15952380952380948,0.86,0.1,0.06642653167185877,0.1308377896613191,47,0.02127659574468085
MolecuLA raw OLS (seed-excluded),FractionCSP3,-53.03030303030303,53.03030303030303,50,50,1.0,50,1.0,1.0,0.13333333333333333,-0.15238095238095237,0.15238095238095237,0.84,0.10258838383838384,0.07219827586206896,0.13073953677366923,47,0.02127659574468085
MolecuLA raw OLS (seed-excluded),FractionCSP3,-50.0,50.0,50,50,1.0,50,1.0,1.0,0.13339920948616601,-0.12976190476190474,0.12976190476190474,0.78,0.11278964107223989,0.08059370231654875,0.13822115384615385,50,0.02
MolecuLA raw OLS (seed-excluded),FractionCSP3,-46.96969696969697,46.96969696969697,50,50,1.0,50,1.0,1.0,0.16333333333333333,-0.12000442086648982,0.12000442086648982,0.82,0.11378020713463752,0.0817391304347826,0.13672248803827752,49,0.02040816326530612
MolecuLA raw OLS (seed-excluded),FractionCSP3,-43.93939393939394,43.93939393939394,50,50,1.0,49,0.98,0.98,0.18614718614718614,-0.09908963585434172,0.09908963585434172,0.74,0.12097560975609756,0.09646440516005733,0.15701376936316697,47,0.06382978723404255
MolecuLA raw OLS (seed-excluded),FractionCSP3,-40.90909090909091,40.90909090909091,50,50,1.0,49,0.98,0.98,0.18181818181818182,-0.06994047619047619,0.06994047619047619,0.74,0.13434486419534636,0.10759708737864077,0.22099892588614392,49,0.10204081632653061
MolecuLA raw OLS (seed-excluded),FractionCSP3,-37.878787878787875,37.878787878787875,50,50,1.0,49,0.98,0.98,0.19230769230769232,-0.07620200576856923,0.07620200576856923,0.7,0.13805693069306932,0.10518740121923685,0.24890350877192982,49,0.12244897959183673
MolecuLA raw OLS (seed-excluded),FractionCSP3,-34.848484848484844,34.848484848484844,50,50,1.0,48,0.96,0.96,0.20526315789473684,-0.0797658862876254,0.0797658862876254,0.72,0.1675438596491228,0.11955223880597014,0.2847443112307316,49,0.14285714285714285
MolecuLA raw OLS (seed-excluded),FractionCSP3,-31.818181818181813,31.818181818181813,50,50,1.0,45,0.9,0.9,0.21980676328502413,-0.0840393905611297,0.0840393905611297,0.66,0.23759143155694878,0.1700531914893617,0.3916728763040238,47,0.23404255319148937
MolecuLA raw OLS (seed-excluded),FractionCSP3,-28.787878787878782,28.787878787878782,50,50,1.0,36,0.72,0.72,0.2403846153846154,-0.025324675324675278,0.025324675324675278,0.58,0.3187307601231352,0.21689406099518457,1.0,48,0.3541666666666667
MolecuLA raw OLS (seed-excluded),FractionCSP3,-25.757575757575765,25.757575757575765,50,50,1.0,32,0.64,0.64,0.23076923076923078,-0.004901960784313722,0.004901960784313722,0.5,0.47754010695187166,0.25896551724137934,1.0,50,0.4
