property,direction_type,direction_target,seed_id,response,spearman_rho,linear_slope_per_alpha,expected_sign_fraction,validity,valid_count,decode_count,seed_value
BertzCT,raw_property,BertzCT,40,raw_property,0.9529098537700378,11.53918302981491,0.83,1.0,100,100,387.0248257561691
BertzCT,raw_property,BertzCT,40,diagnostic_residual,-0.5636138900456469,-2.880937584402182,0.21,1.0,100,100,-49.11658032187256
BertzCT,raw_property,BertzCT,41,raw_property,0.9435772535744197,9.29180626501334,0.86,1.0,100,100,714.9584596487582
BertzCT,raw_property,BertzCT,41,diagnostic_residual,-0.6997040039475204,-5.303369560427542,0.2,1.0,100,100,-1.8370739970247314
BertzCT,raw_property,BertzCT,42,raw_property,0.9822124331074888,13.969695780367115,0.91,1.0,100,100,841.0725242405067
BertzCT,raw_property,BertzCT,42,diagnostic_residual,-0.24278307675610336,-1.2240857189311467,0.35,1.0,100,100,13.816015270119692
BertzCT,raw_property,BertzCT,43,raw_property,0.9705215498549689,9.537184179841928,0.76,1.0,100,100,581.1041595594359
BertzCT,raw_property,BertzCT,43,diagnostic_residual,-0.6169129245931712,-4.180670029504186,0.2,1.0,100,100,64.53861650134047
BertzCT,raw_property,BertzCT,44,raw_property,0.9658126340380203,18.501067577881514,0.9,1.0,100,100,875.2703264993577
BertzCT,raw_property,BertzCT,44,diagnostic_residual,0.03694205998844638,3.4822862344563976,0.39,1.0,100,100,40.83411023316023
BertzCT,raw_property,BertzCT,45,raw_property,0.9550672381372155,12.546076850242034,0.8,1.0,100,100,822.6217448584681
BertzCT,raw_property,BertzCT,45,diagnostic_residual,-0.3399406861250285,-3.287774499822425,0.3,1.0,100,100,-42.432430634495404
BertzCT,raw_property,BertzCT,46,raw_property,0.9385196192835114,11.641284129677024,0.79,1.0,100,100,842.2641468394088
BertzCT,raw_property,BertzCT,46,diagnostic_residual,-0.3851090929931647,-2.305147714777113,0.4,1.0,100,100,110.76011882940782
BertzCT,raw_property,BertzCT,47,raw_property,0.9486673721783814,12.377567024301255,0.91,1.0,100,100,749.6155867945301
BertzCT,raw_property,BertzCT,47,diagnostic_residual,-0.5003797873127303,-2.581327726095468,0.27,1.0,100,100,-92.99871368119818
BertzCT,raw_property,BertzCT,48,raw_property,0.9728182179163547,15.23452254225128,0.91,1.0,100,100,1035.716088637982
BertzCT,raw_property,BertzCT,48,diagnostic_residual,0.04812121692979128,-0.007646202565691127,0.62,1.0,100,100,296.78210853169674
