property,direction_type,direction_target,response,median_spearman_rho,q25_spearman_rho,q75_spearman_rho,median_linear_slope,median_expected_sign_fraction,mean_expected_sign_fraction,overall_validity,seed_count
HeavyAtomCount,residual_property,HeavyAtomCount_residual,raw_property,0.6606264722931275,0.47568288918341645,0.7907406043097694,0.036344554455445544,0.49,0.49579999999999996,1.0,50
HeavyAtomCount,selfies_length,selfies_len_tokens,diagnostic_residual,-0.37293744707863197,-0.540101157228177,-0.19263231788813032,-0.10335445775825625,0.475,0.46027972118630883,0.9826,50
HeavyAtomCount,selfies_length,selfies_len_tokens,raw_property,0.949817580991754,0.885569494997899,0.9717167370342823,0.24937227722772276,0.83,0.8226095759190938,0.9826,50
TPSA,raw_property,TPSA,diagnostic_residual,0.1509399204558256,-0.02995771881033552,0.3121370254133009,0.09337194598994969,0.595,0.5768,1.0,50
TPSA,raw_property,TPSA,raw_property,0.9296714038913769,0.8998222083263806,0.951553350257659,0.791005861386139,0.805,0.7834,1.0,50
TPSA,residual_property,TPSA_residual,diagnostic_residual,0.8649696239770475,0.7483483890891457,0.9265040527352256,0.558646355987426,0.75,0.7426,1.0,50
TPSA,residual_property,TPSA_residual,raw_property,0.9146432108521789,0.8712680739515424,0.9362983656850532,0.5282537524752475,0.725,0.7095999999999999,1.0,50
TPSA,selfies_length,selfies_len_tokens,diagnostic_residual,-0.7313416690533524,-0.8540174955410035,-0.500634629545884,-0.3824906839366471,0.25,0.26204255828490447,0.9826,50
TPSA,selfies_length,selfies_len_tokens,raw_property,0.8553791862463326,0.7908936428372099,0.9090523318473819,0.48744209900990104,0.775,0.7605877947232104,0.9826,50
cLogP,raw_property,cLogP,diagnostic_residual,0.564361672796743,0.3748905506094344,0.757318810906436,0.029801092039003704,0.73,0.7323999999999999,1.0,50
cLogP,raw_property,cLogP,raw_property,0.9347796401640374,0.9135734677489824,0.9633340269270149,0.07537642982178218,0.82,0.815,1.0,50
cLogP,residual_property,cLogP_residual,diagnostic_residual,0.9257822635222144,0.887587963957053,0.9554888284250276,0.04805282099322581,0.815,0.8024,1.0,50
cLogP,residual_property,cLogP_residual,raw_property,0.9587325980557686,0.9433133933429121,0.9756544190925573,0.05227572975247523,0.77,0.7709999999999999,1.0,50
cLogP,selfies_length,selfies_len_tokens,diagnostic_residual,0.15532995060534127,-0.20367305032061236,0.3233586237735575,-0.003086002225538156,0.545,0.5335482064588695,0.9826,50
cLogP,selfies_length,selfies_len_tokens,raw_property,0.8388351398850904,0.6742343073096644,0.892548923396842,0.04081791385148512,0.725,0.7212648979224457,0.9826,50
