property,direction_type,direction_target,alpha,response,decode_count,valid_count,validity,median_value,q25_value,q75_value,median_change_from_seed,q25_change_from_seed,q75_change_from_seed,expected_sign_fraction
BertzCT,raw_property,BertzCT,-19.69696969696969,diagnostic_residual,50,50,1.0,-6.563882180054493,-98.98362410422114,49.38025332165091,-1.509903313490213e-14,-23.81399248290512,2.2737367544323206e-13,0.52
BertzCT,raw_property,BertzCT,-16.666666666666657,raw_property,50,50,1.0,624.2805876929065,406.3203954212282,784.9764171769834,-56.18174615891667,-132.97337763793507,0.0,0.52
BertzCT,raw_property,BertzCT,-16.666666666666657,diagnostic_residual,50,50,1.0,-2.3087236923447563,-60.07439724457461,51.06800589247757,0.0,-14.863969264114136,1.9895196601282805e-13,0.46
BertzCT,raw_property,BertzCT,-13.636363636363626,raw_property,50,50,1.0,704.0113275138725,414.77292386282124,854.4815446480012,0.0,-61.00461090204885,0.0,0.3
BertzCT,raw_property,BertzCT,-13.636363636363626,diagnostic_residual,50,50,1.0,8.976268344659644,-47.270427681888414,53.81126325375118,0.0,-1.1901590823981678e-13,0.0,0.36
BertzCT,raw_property,BertzCT,-10.606060606060597,raw_property,50,50,1.0,717.2035721465948,414.77292386282124,879.2869474683223,0.0,0.0,0.0,0.1
BertzCT,raw_property,BertzCT,-10.606060606060597,diagnostic_residual,50,50,1.0,14.385098281921103,-42.13140640276992,54.62542690841309,0.0,0.0,0.0,0.24
BertzCT,raw_property,BertzCT,-7.575757575757564,raw_property,50,50,1.0,734.5321357194807,483.04385934891155,874.0084314851308,0.0,0.0,0.0,0.06
BertzCT,raw_property,BertzCT,-7.575757575757564,diagnostic_residual,50,50,1.0,12.458564486338076,-48.797758168059005,55.266542699366624,0.0,0.0,0.0,0.22
BertzCT,raw_property,BertzCT,-4.545454545454561,raw_property,50,50,1.0,734.5321357194807,483.04385934891155,874.0084314851308,0.0,0.0,0.0,0.04
BertzCT,raw_property,BertzCT,-4.545454545454561,diagnostic_residual,50,50,1.0,10.99374869858957,-48.797758168059005,55.266542699366624,0.0,0.0,0.0,0.22
BertzCT,raw_property,BertzCT,-1.5151515151515298,raw_property,50,50,1.0,734.5321357194807,483.04385934891155,874.0084314851308,0.0,0.0,0.0,0.04
BertzCT,raw_property,BertzCT,-1.5151515151515298,diagnostic_residual,50,50,1.0,10.99374869858957,-48.797758168059005,55.266542699366624,0.0,0.0,0.0,0.22
BertzCT,raw_property,BertzCT,1.5151515151515014,raw_property,50,50,1.0,734.5321357194807,483.04385934891155,874.0084314851308,0.0,0.0,0.0,0.0
BertzCT,raw_property,BertzCT,1.5151515151515014,diagnostic_residual,50,50,1.0,10.99374869858957,-48.797758168059005,55.266542699366624,0.0,0.0,0.0,0.2
BertzCT,raw_property,BertzCT,4.5454545454545325,raw_property,50,50,1.0,734.5321357194807,483.04385934891155,871.7025194027894,0.0,0.0,0.0,0.0
BertzCT,raw_property,BertzCT,4.5454545454545325,diagnostic_residual,50,50,1.0,10.99374869858957,-77.1774994322005,55.266542699366624,0.0,-1.3322676295501878e-15,0.0,0.18
BertzCT,raw_property,BertzCT,7.575757575757564,raw_property,50,50,1.0,749.407771000368,483.04385934891155,891.6373629240833,0.0,0.0,0.0,0.02
BertzCT,raw_property,BertzCT,7.575757575757564,diagnostic_residual,50,50,1.0,12.458564486338076,-48.797758168059005,55.266542699366624,0.0,0.0,0.0,0.2
BertzCT,raw_property,BertzCT,10.606060606060597,raw_property,50,50,1.0,749.407771000368,483.04385934891155,984.4067496651106,0.0,0.0,0.0,0.22
BertzCT,raw_property,BertzCT,10.606060606060597,diagnostic_residual,50,50,1.0,8.976268344659644,-86.11756916357191,54.62542690841309,0.0,-3.1441516057384433e-13,0.0,0.2
BertzCT,raw_property,BertzCT,13.636363636363626,raw_property,50,50,1.0,807.2269451823502,491.41371416256175,1019.4855449903142,0.0,0.0,94.22417432879351,0.36
BertzCT,raw_property,BertzCT,13.636363636363626,diagnostic_residual,50,50,1.0,-11.486468195706408,-132.39112490221777,50.75285468001667,-1.7408297026122455e-13,-90.57797199840832,0.0,0.22
BertzCT,raw_property,BertzCT,16.666666666666657,raw_property,50,50,1.0,830.0422411634212,564.8276235751347,1024.0384549601004,0.0,0.0,180.81118150226172,0.48
BertzCT,raw_property,BertzCT,16.666666666666657,diagnostic_residual,50,50,1.0,-39.090939441729034,-214.479303595945,52.23296910117813,-1.9139489979004907,-173.059433950297,1.9895196601282805e-13,0.28
BertzCT,raw_property,BertzCT,19.69696969696969,raw_property,50,50,1.0,874.8377562926328,583.1280458863904,1065.9928261249715,96.26520405367899,0.0,238.48723992544956,0.6
BertzCT,raw_property,BertzCT,19.69696969696969,diagnostic_residual,50,50,1.0,-87.14423138347428,-222.42516274002924,11.614407029541297,-67.56037329991668,-195.45349092007177,-2.842170943040401e-14,0.18
BertzCT,raw_property,BertzCT,22.72727272727272,raw_property,50,50,1.0,893.6781137223284,618.4798642724336,1091.2997993065653,91.05315837813117,0.0,269.68056041685924,0.6
BertzCT,raw_property,BertzCT,22.72727272727272,diagnostic_residual,50,50,1.0,-132.09365832418433,-310.8493458192816,46.18529781472961,-101.81947495396682,-283.9957590160884,-0.6391794622662132,0.2
BertzCT,raw_property,BertzCT,25.75757575757575,raw_property,50,50,1.0,911.9556410631205,636.1137665307759,1108.3734391008113,110.78413497771015,0.0,302.2365124466004,0.6
BertzCT,raw_property,BertzCT,25.75757575757575,diagnostic_residual,50,50,1.0,-144.49690848288014,-367.62183359711804,21.932353770947348,-139.27530060141834,-312.7927748669115,-1.6243011995535417,0.24
BertzCT,raw_property,BertzCT,28.787878787878785,raw_property,50,50,1.0,899.1651765883614,703.5586862616753,1085.1980794594954,156.97008861626063,0.0,345.7700545502184,0.62
BertzCT,raw_property,BertzCT,28.787878787878785,diagnostic_residual,50,50,1.0,-257.93012368245843,-411.9896873863286,60.52473707948283,-169.4332466662172,-419.90623113799217,-19.611591124098396,0.24
BertzCT,raw_property,BertzCT,31.818181818181813,raw_property,50,50,1.0,937.9736579259018,623.1872029398511,1089.6973487958742,104.95421974386988,-8.27056436275572,391.4524054363694,0.6
BertzCT,raw_property,BertzCT,31.818181818181813,diagnostic_residual,50,50,1.0,-264.306348813824,-470.4865653362442,-9.198449107780277,-186.5438214740527,-448.71809383986715,-7.159299561277351,0.24
BertzCT,raw_property,BertzCT,34.848484848484844,raw_property,50,50,1.0,973.5509131326726,578.1457160276332,1119.9544979996483,116.96734073935454,-8.27056436275572,364.9658455990848,0.6
BertzCT,raw_property,BertzCT,34.848484848484844,diagnostic_residual,50,50,1.0,-258.2580242883972,-583.1486412812442,-26.6787093375857,-235.8054055669005,-555.4920635485439,-37.49560573869681,0.2
BertzCT,raw_property,BertzCT,37.87878787878788,raw_property,50,50,1.0,950.432197084124,764.4996126355605,1111.512239840887,147.94935724434134,-6.866478648948117,364.93302252421273,0.64
BertzCT,raw_property,BertzCT,37.87878787878788,diagnostic_residual,50,50,1.0,-240.78314261539293,-573.5129534316517,-88.01388911310636,-240.9765139419601,-571.9618880053924,-63.68536419906795,0.14
BertzCT,raw_property,BertzCT,40.90909090909091,raw_property,50,50,1.0,922.9554303204241,696.7154193297565,1107.7649520393004,147.26587415327475,0.0,353.2226178697838,0.68
BertzCT,raw_property,BertzCT,40.90909090909091,diagnostic_residual,50,50,1.0,-313.34967264517405,-549.3282005635369,-126.18475599496362,-285.7743271946728,-546.7649526567118,-110.98144201394501,0.14
BertzCT,raw_property,BertzCT,43.93939393939394,raw_property,50,50,1.0,920.7825953516426,741.1713117266404,1081.7357783391408,163.50905316582873,0.0,323.7563372695482,0.72
BertzCT,raw_property,BertzCT,43.93939393939394,diagnostic_residual,50,50,1.0,-345.50106522493786,-566.666616057973,-129.1693954991424,-337.27365553260745,-541.4614288930089,-140.9865373320692,0.08
BertzCT,raw_property,BertzCT,46.96969696969697,raw_property,50,50,1.0,931.5934204782666,722.5918343617607,1126.494399365091,154.3670821256656,-74.46242885079567,367.05668909801193,0.62
BertzCT,raw_property,BertzCT,46.96969696969697,diagnostic_residual,50,50,1.0,-334.1753861436741,-621.3000768775114,-125.21249596689142,-317.54911279025436,-611.0677780237286,-157.52814607876155,0.1
BertzCT,raw_property,BertzCT,50.0,raw_property,50,50,1.0,966.1692870203788,738.6360927047764,1100.0794945499765,137.53485742249916,-74.46242885079567,454.5902843901605,0.68
BertzCT,raw_property,BertzCT,50.0,diagnostic_residual,50,50,1.0,-335.25907840105225,-558.796259886338,-174.13913737579742,-357.5445841706688,-567.5195042565936,-136.19151254441758,0.1
BertzCT,raw_property,BertzCT,53.03030303030303,raw_property,50,50,1.0,975.7573384022473,829.4729738203227,1111.8194907762104,215.16386267443943,-25.633095300197482,455.7897827238328,0.74
BertzCT,raw_property,BertzCT,53.03030303030303,diagnostic_residual,50,50,1.0,-343.0786276467402,-551.2113168514692,-187.72769721371623,-347.38531916767215,-522.5386320443952,-218.92082112173958,0.08
BertzCT,raw_property,BertzCT,56.06060606060606,raw_property,50,50,1.0,1014.1916386004208,818.0368155007918,1131.3562060649083,272.76126961486204,17.87050203792711,491.7034548021973,0.78
BertzCT,raw_property,BertzCT,56.06060606060606,diagnostic_residual,50,50,1.0,-328.13284499191775,-508.01157802223395,-174.86394410522746,-338.6970051868301,-522.800291193315,-201.93845682573232,0.02
BertzCT,raw_property,BertzCT,59.09090909090909,raw_property,50,50,1.0,1060.5522970598636,915.8567431117386,1237.0196147521542,328.0537236856029,164.04339723499243,541.4234126889105,0.86
BertzCT,raw_property,BertzCT,59.09090909090909,diagnostic_residual,50,50,1.0,-340.35954066301974,-540.5683871767866,-123.8353248791858,-325.82508751930914,-506.29001205752184,-209.81082384789994,0.06
BertzCT,raw_property,BertzCT,62.121212121212125,raw_property,50,50,1.0,988.5375026458635,789.4363783469959,1242.9730461148379,317.4588193684228,64.86169225894562,558.5105995834853,0.82
BertzCT,raw_property,BertzCT,62.121212121212125,diagnostic_residual,50,50,1.0,-413.6613327583824,-681.3450290453525,-144.88462923918883,-380.81533574316217,-596.6177275134207,-189.34035620077094,0.04
BertzCT,raw_property,BertzCT,65.15151515151516,raw_property,50,50,1.0,1017.8947369305506,821.565368279172,1199.4855476496336,321.2595574068524,80.31590930313126,556.0601822256376,0.8
BertzCT,raw_property,BertzCT,65.15151515151516,diagnostic_residual,50,50,1.0,-400.5593478505681,-674.0262437162154,-204.79403792721112,-373.0461063474559,-560.9249754436668,-221.3284522175987,0.08
BertzCT,raw_property,BertzCT,68.18181818181819,raw_property,50,50,1.0,997.4157717375284,840.5287691208442,1263.9157416951964,344.08808010361383,115.74555453729474,608.0232621097684,0.84
BertzCT,raw_property,BertzCT,68.18181818181819,diagnostic_residual,50,50,1.0,-352.021411127619,-690.3224353979895,-256.13053429986013,-402.58461920781576,-628.7438874428303,-254.28110038805232,0.04
BertzCT,raw_property,BertzCT,71.21212121212122,raw_property,50,50,1.0,1023.7528930851206,886.1974871175032,1275.626175266808,297.2330806737944,91.13576545024273,627.2860721609405,0.84
BertzCT,raw_property,BertzCT,71.21212121212122,diagnostic_residual,50,50,1.0,-390.1325308608104,-748.4054662081414,-243.79137190085922,-378.96636784888483,-762.3590333203749,-272.67150201103556,0.0
