method,scale,property,seed_id,confound,spearman_alpha_confound,spearman_abs_alpha_confound,slope_confound_per_alpha,slope_confound_per_abs_alpha
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,21,ring_token_count,-0.598344824432885,-0.2206578613165847,-0.4935064935064925,-0.2899262899262966
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,21,token_entropy,0.771609096660762,0.0854021157348797,0.06710167242081772,0.03423602591893234
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,22,selfies_len_tokens,0.14161029600925518,0.21937257018802597,0.5064935064935111,1.0687960687959985
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,22,branch_token_count,-0.2253836144330739,-0.44358519169187416,-0.16883116883116847,-0.8329238329238404
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,22,ring_token_count,0.059931934181151524,0.008521362907519807,0.10389610389610672,0.08845208845207554
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,22,token_entropy,-0.6496148973261522,-0.47368664466815097,-0.062308447206915495,-0.09543432625841358
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,23,selfies_len_tokens,0.8201786978319461,0.3449462122883747,3.766233766233769,2.6781326781326396
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,23,branch_token_count,0.2524963908470595,0.6480041715608664,0.32467532467532534,1.5601965601965522
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,23,ring_token_count,0.7006490497453707,0.5106925140264353,0.883116883116884,1.1597051597051564
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,23,token_entropy,0.17213626991534672,0.7692874881299013,0.06819045010927617,0.1916122678969862
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,24,selfies_len_tokens,-0.07664528251916916,-0.32562428727512727,-0.11688311688311638,-0.9066339066339545
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,24,branch_token_count,-0.2946898458772509,0.013408059158796259,-0.14285714285714274,0.027027027027023538
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,24,ring_token_count,-0.6339768149755967,-0.22993593632984577,-0.8181818181818172,-1.0442260442260582
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,24,token_entropy,-0.9027066890875451,-0.18105842342959327,-0.0603721075584891,-0.054846357798189777
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,25,selfies_len_tokens,0.8257228238447704,0.33651508392670326,0.7142857142857221,0.45454545454541034
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,25,branch_token_count,,,0.0,0.0
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,25,ring_token_count,,,0.0,0.0
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,25,token_entropy,0.5275738764181996,0.4008768970771686,0.04520382602648742,0.0568012620498176
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,26,selfies_len_tokens,-0.09331762554834196,0.5414242256860519,1.5584415584415612,7.154791154791101
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,26,branch_token_count,-0.6809084840390546,-0.5412488906844181,-0.44155844155844043,-0.6732186732186791
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,26,ring_token_count,0.35032452487268534,0.5593961597782753,0.8181818181818188,2.425061425061422
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,26,token_entropy,-0.5751151161924882,0.03413893228404854,-0.05466991184040049,-0.0038921711513214483
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,27,selfies_len_tokens,-0.833939173713854,-0.49843540038360473,-1.0779220779220668,-1.3095823095823615
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,27,branch_token_count,,,0.0,0.0
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,27,ring_token_count,-0.8174238913695991,-0.44250740997385957,-0.6363636363636352,-0.636363636363647
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,27,token_entropy,-0.833939173713854,-0.49843540038360473,-0.030495866735192747,-0.030520991432626387
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,28,selfies_len_tokens,-0.35541486103147907,-0.8011476464605346,-3.1038961038961013,-6.287469287469351
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,28,branch_token_count,-0.2896827297511605,-0.8081056786153186,-0.9740259740259735,-3.280098280098292
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,28,ring_token_count,-0.3822353935782192,0.25507216374642366,-0.19480519480519481,0.2579852579852496
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,28,token_entropy,-0.35541486103147907,-0.8011476464605346,-0.042447804746056195,-0.05896893027321166
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,29,selfies_len_tokens,0.0055483358571765265,-0.5921683793307987,-0.22077922077921414,-2.690417690417744
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,29,branch_token_count,0.24796218539762138,0.2988648892304882,0.4285714285714282,0.8280098280098181
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,29,ring_token_count,0.0723746864455746,-0.3902166456970412,0.05194805194805272,-0.5651105651105733
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,29,token_entropy,-0.275971994206067,-0.2690063031201518,-0.03570172182362697,-0.035463479242172254
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,30,selfies_len_tokens,,,0.0,0.0
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,30,branch_token_count,0.8424168281998399,-0.32221615979143814,1.064935064935066,-0.9877149877149997
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,30,ring_token_count,0.7006490497453707,-0.13358714263361798,0.5454545454545465,-0.27518427518428207
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,30,token_entropy,0.8625912579299808,-0.24265935042786732,0.02530728957203225,-0.02196565706271601
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,31,selfies_len_tokens,-0.8104616087375144,0.12245315843481318,-3.805194805194797,3.2113022113021508
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,31,branch_token_count,-0.1994310088043664,0.4741106671347486,-0.32467532467532406,1.216216216216206
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,31,ring_token_count,-0.7604128186046332,-0.1235782554166937,-0.9610389610389606,-0.03439803439803955
