method,scale,property,alpha,requested_candidates,valid_fraction,unique_canonical_fraction_total,changed_from_seed_fraction_all,median_property,median_property_delta,median_sa_score,median_sa_score_delta,median_np_likeness_score,median_np_likeness_delta,fraction_at_decoder_token_budget,expected_sign_fraction_valid,median_seed_similarity,q25_seed_similarity,q75_seed_similarity,scaffold_retention_fraction
ChemSpacE released-ZINC protocol,native_l2,TPSA,-0.7,200,1.0,1.0,0.75,66.7,0.0,5.461380932715999,0.0,0.7598655893716961,0.0,0.0,0.375,0.25942181647940077,0.14332608695652171,0.896551724137931,0.27710843373493976
ChemSpacE released-ZINC protocol,native_l2,TPSA,-0.6,200,1.0,1.0,0.68,65.015,0.0,5.467965587609335,0.0,0.7688740135702049,0.0,0.0,0.34,0.2715201465201465,0.14918656974731737,1.0,0.3532934131736527
ChemSpacE released-ZINC protocol,native_l2,TPSA,-0.5,200,1.0,1.0,0.62,65.82000000000001,0.0,5.461380932715999,0.0,0.7705389651955976,0.0,0.0,0.285,0.4426523297491039,0.1590378079864061,1.0,0.40853658536585363
ChemSpacE released-ZINC protocol,native_l2,TPSA,-0.3999999999999999,200,1.0,1.0,0.555,66.935,0.0,5.452801056929849,0.0,0.7603408766149664,0.0,0.0,0.26,0.571765322158198,0.1769920030831486,1.0,0.46706586826347307
ChemSpacE released-ZINC protocol,native_l2,TPSA,-0.2999999999999999,200,1.0,1.0,0.455,65.75,0.0,5.4219973075094225,0.0,0.7603408766149664,0.0,0.0,0.21,1.0,0.2293758184199039,1.0,0.5748502994011976
ChemSpacE released-ZINC protocol,native_l2,TPSA,-0.1999999999999999,200,1.0,1.0,0.325,64.74000000000001,0.0,5.453465297239978,0.0,0.7429937640494091,0.0,0.0,0.155,1.0,0.4211857810067462,1.0,0.7083333333333334
ChemSpacE released-ZINC protocol,native_l2,TPSA,-0.0999999999999999,200,1.0,1.0,0.175,64.74000000000001,0.0,5.432402210491054,0.0,0.7603408766149664,0.0,0.0,0.06,1.0,1.0,1.0,0.8362573099415205
ChemSpacE released-ZINC protocol,native_l2,TPSA,0.0,200,1.0,1.0,0.0,64.35,0.0,5.410964407320817,0.0,0.7557398351622628,0.0,0.0,,1.0,1.0,1.0,1.0
ChemSpacE released-ZINC protocol,native_l2,TPSA,0.1,200,1.0,1.0,0.195,64.71000000000001,0.0,5.427294168533962,0.0,0.7711609378111928,0.0,0.0,0.09,1.0,1.0,1.0,0.815028901734104
ChemSpacE released-ZINC protocol,native_l2,TPSA,0.2000000000000001,200,1.0,1.0,0.33,64.82000000000001,0.0,5.385674041486039,0.0,0.7553118224517753,0.0,0.0,0.155,1.0,0.4624735729386892,1.0,0.7065868263473054
ChemSpacE released-ZINC protocol,native_l2,TPSA,0.3,200,1.0,1.0,0.475,64.71000000000001,0.0,5.322993379990423,0.0,0.7491437922963012,0.0,0.0,0.235,1.0,0.22704207920792077,1.0,0.5454545454545454
ChemSpacE released-ZINC protocol,native_l2,TPSA,0.4000000000000001,200,1.0,1.0,0.56,65.03,0.0,5.2853600614888485,0.0,0.7394639549150295,0.0,0.0,0.305,0.6216589861751152,0.17336960386885714,1.0,0.47560975609756095
ChemSpacE released-ZINC protocol,native_l2,TPSA,0.5,200,1.0,1.0,0.61,64.74000000000001,0.0,5.226949640127069,0.0,0.7117882600306678,0.0,0.0,0.325,0.45717048908538266,0.16576086956521732,1.0,0.4382716049382716
ChemSpacE released-ZINC protocol,native_l2,TPSA,0.6000000000000001,200,1.0,1.0,0.68,67.10499999999999,0.0,5.2853600614888485,0.0,0.7159249973592821,0.0,0.0,0.36,0.33858135365307035,0.1517857142857142,1.0,0.3710691823899371
ChemSpacE released-ZINC protocol,native_l2,TPSA,0.7000000000000002,200,1.0,1.0,0.71,67.10499999999999,0.0,5.2853600614888485,0.0,0.7138408774999112,0.0,0.0,0.39,0.32667910447761195,0.14600889513108606,1.0,0.34177215189873417
ChemSpacE released-ZINC protocol,native_l2,TPSA,0.8,200,1.0,1.0,0.75,67.10499999999999,0.0,5.23234304435811,0.0,0.7138408774999112,0.0,0.0,0.43,0.2830440587449933,0.1418650793650793,0.8584905660377359,0.3057324840764331
ChemSpacE released-ZINC protocol,native_l2,TPSA,0.9000000000000001,200,1.0,1.0,0.795,68.36500000000001,0.0,5.260222639121327,0.0,0.7427779131781453,0.0,0.0,0.475,0.24073509226780535,0.13533333333333333,0.660625,0.25157232704402516
ChemSpacE released-ZINC protocol,native_l2,TPSA,1.0,200,1.0,1.0,0.81,69.845,0.0,5.310785418098644,0.0,0.7491024254987233,0.0,0.0,0.475,0.2102067183462532,0.12875093773443358,0.5661581920903954,0.2356687898089172
ChemSpacE released-ZINC protocol,native_l2,cLogP,-1.0,200,1.0,1.0,0.885,2.7783850000000005,-0.00499999999999985,5.479302034491935,0.0,0.7082201727040847,0.0,0.0,0.505,0.19139194139194135,0.13468468468468464,0.3333333333333333,0.11688311688311688
ChemSpacE released-ZINC protocol,native_l2,cLogP,-0.9,200,1.0,1.0,0.87,2.8051250000000008,0.0,5.45369111464656,0.0,0.737088583623293,0.0,0.0,0.465,0.2021505376344086,0.13147109577221738,0.36456400742115025,0.13725490196078433
ChemSpacE released-ZINC protocol,native_l2,cLogP,-0.8,200,1.0,1.0,0.845,2.7658750000000003,0.0,5.5243881193278686,0.0,0.7459535317436682,0.0,0.0,0.435,0.20900383141762452,0.13034641215977372,0.44503546099290775,0.1830065359477124
ChemSpacE released-ZINC protocol,native_l2,cLogP,-0.7,200,1.0,1.0,0.795,2.816045000000001,0.0,5.540106799389726,0.0,0.7651327462838551,0.0,0.0,0.4,0.23517012947907254,0.136056511056511,0.5575614574187884,0.23270440251572327
ChemSpacE released-ZINC protocol,native_l2,cLogP,-0.6,200,1.0,1.0,0.74,3.030450000000001,0.0,5.520914458606812,0.0,0.7926575236376512,0.0,0.0,0.345,0.26498746295874176,0.1387820512820513,1.0,0.30625
ChemSpacE released-ZINC protocol,native_l2,cLogP,-0.5,200,1.0,1.0,0.68,3.153950000000002,0.0,5.506562092125532,0.0,0.8184646685654424,0.0,0.0,0.295,0.337719298245614,0.1530392883617494,1.0,0.37037037037037035
ChemSpacE released-ZINC protocol,native_l2,cLogP,-0.3999999999999999,200,1.0,1.0,0.61,3.161295000000001,0.0,5.53072139665027,0.0,0.8039248730275976,0.0,0.0,0.25,0.4705882352941176,0.16522453924028724,1.0,0.4294478527607362
ChemSpacE released-ZINC protocol,native_l2,cLogP,-0.2999999999999999,200,1.0,1.0,0.535,3.161295000000001,0.0,5.440135176641684,0.0,0.8000840677808736,0.0,0.0,0.215,0.6621323529411764,0.21005571531272463,1.0,0.5212121212121212
ChemSpacE released-ZINC protocol,native_l2,cLogP,-0.1999999999999999,200,1.0,1.0,0.415,3.027800000000001,0.0,5.419913657494664,0.0,0.7804230165151169,0.0,0.0,0.195,1.0,0.30740037950664134,1.0,0.6167664670658682
ChemSpacE released-ZINC protocol,native_l2,cLogP,-0.0999999999999999,200,1.0,1.0,0.225,2.988300000000001,0.0,5.443637626204768,0.0,0.7648720877077637,0.0,0.0,0.085,1.0,1.0,1.0,0.7988165680473372
ChemSpacE released-ZINC protocol,native_l2,cLogP,0.0,200,1.0,1.0,0.0,2.8150500000000003,0.0,5.410964407320817,0.0,0.7557398351622628,0.0,0.0,,1.0,1.0,1.0,1.0
ChemSpacE released-ZINC protocol,native_l2,cLogP,0.1,200,1.0,1.0,0.17,2.820100000000001,0.0,5.343345546252953,0.0,0.7605963199023402,0.0,0.0,0.095,1.0,1.0,1.0,0.8372093023255814
ChemSpacE released-ZINC protocol,native_l2,cLogP,0.2000000000000001,200,1.0,1.0,0.39,2.8838450000000018,0.0,5.339416036515475,0.0,0.7429937640494091,0.0,0.0,0.235,1.0,0.40089263878698944,1.0,0.6153846153846154
ChemSpacE released-ZINC protocol,native_l2,cLogP,0.3,200,1.0,1.0,0.495,2.9221000000000013,0.0,5.379903500882445,0.0,0.7429937640494091,0.0,0.0,0.3,1.0,0.26816239316239315,1.0,0.514792899408284
ChemSpacE released-ZINC protocol,native_l2,cLogP,0.4000000000000001,200,1.0,1.0,0.58,2.887895000000002,0.0,5.410964407320817,0.0,0.7796641360287464,0.0,0.0,0.35,0.5616784630940344,0.2091230551626591,1.0,0.437125748502994
