method,scale,property,seed_id,requested_points,valid_points,full_path_valid,property_monotonic_either,property_monotonic_expected,structure_distance_monotonic,raw_path_diverse,canonical_path_diverse,ssr_official_code_compatible,ssr_expected_all_valid,rsr_local_official_code_compatible,rsr_global_official_code_compatible,spearman_alpha_property,slope_property_per_alpha,spearman_alpha_sa_score,slope_sa_score_per_alpha,spearman_alpha_np_likeness,slope_np_likeness_per_alpha,expected_sign_fraction_valid_nonzero,changed_from_seed_fraction_all,changed_from_seed_fraction_valid,median_seed_similarity,scaffold_evaluable_fraction,scaffold_retention_fraction
ChemSpacE released-ZINC protocol,native_l2,cLogP,66,21,21,True,False,False,False,True,True,False,False,False,True,-0.642065492555748,-0.4774722077922079,-0.029817282936025452,-0.253435382504546,-0.39955159134274104,-0.050730264357777236,0.1,0.7142857142857143,0.7142857142857143,0.2293577981651376,1.0,0.38095238095238093
ChemSpacE released-ZINC protocol,native_l2,cLogP,67,21,21,True,False,False,False,True,True,False,False,False,False,0.5318171355046308,0.5906883116883124,0.6003334535757796,0.1497972073232249,0.24796381778130028,-0.055336703878690746,0.25,0.2857142857142857,0.2857142857142857,1.0,1.0,0.7142857142857143
ChemSpacE released-ZINC protocol,native_l2,cLogP,68,21,21,True,False,False,False,True,True,False,False,False,True,-0.15081951369595806,0.1596350649350644,0.7130852445800122,0.9475860057159655,-0.005291912761261686,0.10591484018747782,0.25,0.8095238095238095,0.8095238095238095,0.2988505747126437,1.0,0.19047619047619047
ChemSpacE released-ZINC protocol,native_l2,cLogP,69,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,
ChemSpacE released-ZINC protocol,native_l2,cLogP,70,21,21,True,True,False,True,True,True,True,False,True,True,-0.8660254037844386,-2.7160000000000015,-0.8660254037844386,-0.18512160659478824,-0.8660254037844386,-0.4499746753663702,0.0,0.47619047619047616,0.47619047619047616,1.0,0.5238095238095238,1.0
ChemSpacE released-ZINC protocol,native_l2,cLogP,71,21,21,True,False,False,False,True,True,False,False,False,True,-0.9109820257741643,-0.9279850649350657,-0.638538803112732,-0.20186160598728511,-0.7236773101944296,-0.35752097164416213,0.1,0.9523809523809523,0.9523809523809523,0.125,0.5238095238095238,0.09090909090909091
ChemSpacE released-ZINC protocol,native_l2,cLogP,72,21,21,True,True,True,True,True,True,True,True,True,True,0.7385489458759964,1.0617142857142863,0.7385489458759964,0.3852201553247174,-0.7385489458759964,-0.20921833222284608,0.25,0.23809523809523808,0.23809523809523808,1.0,0.0,
ChemSpacE released-ZINC protocol,native_l2,cLogP,73,21,21,True,False,False,False,True,True,False,False,False,False,-0.7096168674628662,-1.947826233766234,-0.6446757623375707,-0.2603447587544294,0.6108522700848125,0.26196802512301454,0.4,0.9047619047619048,0.9047619047619048,0.2318840579710145,0.0,
ChemSpacE released-ZINC protocol,native_l2,cLogP,74,21,21,True,False,False,True,True,True,False,False,False,True,0.3758362206896463,0.03532467532467544,0.7254513097032709,0.054120003999195074,0.7254513097032709,0.45526683394436007,0.2,0.23809523809523808,0.23809523809523808,1.0,1.0,0.7619047619047619
ChemSpacE released-ZINC protocol,native_l2,cLogP,75,21,21,True,True,True,False,True,True,False,False,True,True,0.8955155230078661,0.2963298701298703,0.77949731759794,0.7352508840328529,0.77949731759794,0.272072081842613,0.5,0.47619047619047616,0.47619047619047616,1.0,1.0,0.5238095238095238
ChemSpacE released-ZINC protocol,native_l2,cLogP,76,21,21,True,False,False,False,True,True,False,False,False,True,0.9181528862614206,0.5358298701298715,0.14804536183801012,-0.07955880071614525,0.3857328693760998,0.2598331827225825,0.7,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333
ChemSpacE released-ZINC protocol,native_l2,cLogP,77,21,21,True,False,False,False,True,True,False,False,False,True,-0.06509657827753607,-0.12964155844155917,0.6468106820342414,0.8424589308963901,-0.21745027211857793,0.05272873331054308,0.75,0.9047619047619048,0.9047619047619048,0.726027397260274,1.0,0.5714285714285714
ChemSpacE released-ZINC protocol,native_l2,cLogP,78,21,21,True,True,True,True,True,True,True,True,True,True,0.8420753583206845,0.09542337662337742,-0.8420753583206845,-0.7613310910242679,-0.8420753583206845,-0.31765650492277997,0.4,0.38095238095238093,0.38095238095238093,1.0,1.0,0.6190476190476191
ChemSpacE released-ZINC protocol,native_l2,cLogP,79,21,21,True,False,False,True,True,True,False,False,False,True,0.7148027581884977,0.6221337662337665,0.9141839429651113,1.0252891031700506,0.8250987327457733,0.29860462149294176,0.5,0.9047619047619048,0.9047619047619048,0.2112676056338028,1.0,0.09523809523809523
ChemSpacE released-ZINC protocol,native_l2,cLogP,80,21,21,True,False,False,False,True,True,False,False,False,False,-0.7014346164286769,-0.7274857142857148,-0.3730172526672733,-0.4125500430022762,0.6500771685976755,0.33556873562372086,0.45,0.8571428571428571,0.8571428571428571,0.1825396825396825,1.0,0.14285714285714285
ChemSpacE released-ZINC protocol,native_l2,cLogP,81,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ChemSpacE released-ZINC protocol,native_l2,cLogP,82,21,21,True,True,True,True,True,True,True,True,True,True,0.7451139545028029,0.44248311688311825,0.7451139545028029,0.517050661431463,0.7189696052220029,0.4719351196240069,0.25,0.23809523809523808,0.23809523809523808,1.0,1.0,0.7619047619047619
ChemSpacE released-ZINC protocol,native_l2,cLogP,83,21,21,True,False,False,False,True,True,False,False,False,True,0.9406522023783415,1.8873259740259758,-0.8757796366970764,-0.6016854112386196,0.5716894850661471,0.4107350653043036,0.8,0.8571428571428571,0.8571428571428571,0.2608695652173913,0.6666666666666666,0.35714285714285715
ChemSpacE released-ZINC protocol,native_l2,cLogP,84,21,21,True,False,False,False,True,True,False,False,False,False,0.748376095162785,1.0409519480519487,0.6084800192975095,1.0664401933708032,0.9561828874675149,0.22817360696062153,0.55,0.5714285714285714,0.5714285714285714,0.4545454545454545,0.8571428571428571,0.5
ChemSpacE released-ZINC protocol,native_l2,cLogP,85,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ChemSpacE released-ZINC protocol,native_l2,cLogP,86,21,21,True,False,False,False,True,True,False,False,False,True,-0.6289263613347974,-0.004150909090908411,-0.776495675167543,-0.21958422334248542,-0.08783887728139629,-0.14033399608446787,0.05,0.5238095238095238,0.5238095238095238,0.5068493150684932,1.0,0.47619047619047616
ChemSpacE released-ZINC protocol,native_l2,cLogP,87,21,21,True,False,False,False,True,True,False,False,False,False,0.4884733760623019,1.0995636363636379,-0.5781015184590547,-0.07342626706793809,-0.3868948146793156,-0.06558461070947831,0.3,0.38095238095238093,0.38095238095238093,1.0,1.0,0.8095238095238095
ChemSpacE released-ZINC protocol,native_l2,cLogP,88,21,21,True,True,True,True,True,True,True,True,True,True,0.7385489458759964,0.2137766233766236,-0.7385489458759964,-0.03444965838158547,-0.7385489458759964,-0.2049926466152633,0.25,0.23809523809523808,0.23809523809523808,1.0,0.7619047619047619,1.0
ChemSpacE released-ZINC protocol,native_l2,cLogP,89,21,21,True,False,False,False,True,True,False,False,False,False,0.755664704615555,1.0916116883116909,-0.9632871212271438,-0.8963730292179939,0.0006740987552324309,-0.014660512954865947,0.5,0.6666666666666666,0.6666666666666666,0.75,1.0,0.5238095238095238
ChemSpacE released-ZINC protocol,native_l2,cLogP,90,21,21,True,False,False,False,True,True,False,False,False,True,0.04917480912137959,-0.6310883116883127,0.2539575758734261,0.04568203500837385,-0.7807342982421771,-0.15859834181149698,0.3,0.8571428571428571,0.8571428571428571,0.1568627450980392,1.0,0.14285714285714285
ChemSpacE released-ZINC protocol,native_l2,cLogP,91,21,21,True,False,False,True,True,True,False,False,False,False,0.2849014411490949,0.3142961038961039,0.6837634587578277,0.5879128368897214,0.6837634587578277,0.06751713547212246,0.15,0.19047619047619047,0.19047619047619047,1.0,0.0,
ChemSpacE released-ZINC protocol,native_l2,cLogP,92,21,21,True,False,False,False,True,True,False,False,False,False,0.6751129700105873,1.1713636363636366,-0.11284879557361724,-0.014092312907393486,-0.12868722302254595,-0.014958334185298952,0.75,0.9047619047619048,0.9047619047619048,0.1300813008130081,0.9523809523809523,0.25
ChemSpacE released-ZINC protocol,native_l2,cLogP,93,21,21,True,False,False,True,True,True,False,False,False,True,-0.45741945749660784,0.003515584415584567,0.5435702073390182,0.3168454612138462,-0.490238790769907,-0.04266561385795861,0.5,0.8095238095238095,0.8095238095238095,0.3076923076923077,1.0,0.2857142857142857
ChemSpacE released-ZINC protocol,native_l2,cLogP,94,21,21,True,False,False,False,True,True,False,False,False,False,0.24648552320637965,0.4937411688311703,0.19784571329365408,0.19143461930107755,-0.28329402800519904,-0.00461162444468486,0.45,0.8095238095238095,0.8095238095238095,0.1607142857142857,1.0,0.19047619047619047
ChemSpacE released-ZINC protocol,native_l2,cLogP,95,21,21,True,False,False,True,True,True,False,False,False,True,0.5381191248351698,0.9587948051948064,-0.5381191248351698,-0.16290979971005246,0.5097970656333187,0.29612504150656493,0.35,0.7619047619047619,0.7619047619047619,0.4468085106382978,1.0,0.23809523809523808
ChemSpacE released-ZINC protocol,native_l2,cLogP,96,21,21,True,False,False,False,True,True,False,False,False,True,0.4457686366483794,0.3079506493506509,0.874169664076692,0.4630716280231164,0.07525963995362249,-0.007735513889046848,0.3,0.42857142857142855,0.42857142857142855,1.0,1.0,0.5714285714285714
ChemSpacE released-ZINC protocol,native_l2,cLogP,97,21,21,True,False,False,False,True,True,False,False,False,False,0.7698354944347291,1.0560742857142877,0.8587264614399777,0.34690828208546504,-0.5811989399441536,-0.06566212861142282,0.7,0.9047619047619048,0.9047619047619048,0.7125,0.8571428571428571,0.6111111111111112
ChemSpacE released-ZINC protocol,native_l2,cLogP,98,21,21,True,False,False,False,True,True,False,False,False,True,-0.3753442272055532,-0.5292727272727273,-0.12234977571893721,-0.3881317120462673,0.159676825938274,0.06481487998201363,0.2,0.5238095238095238,0.5238095238095238,0.3181818181818182,1.0,0.47619047619047616
ChemSpacE released-ZINC protocol,native_l2,cLogP,99,21,21,True,False,False,False,True,True,False,False,False,False,-0.19686124326331145,-0.4510385714285718,-0.3399137467013178,-0.08519379393519783,-0.6063326292509993,-0.14626991720458493,0.45,0.8095238095238095,0.8095238095238095,0.2945736434108527,1.0,0.19047619047619047
ChemSpacE released-ZINC protocol,native_l2,cLogP,100,21,21,True,False,False,True,True,True,False,False,False,False,0.38707220800119024,0.33881350649350683,-0.26153527567647983,-0.19088598765312884,-0.37451851476871917,-0.06168537501355219,0.3,0.5238095238095238,0.5238095238095238,0.3611111111111111,0.9047619047619048,0.5263157894736842
ChemSpacE released-ZINC protocol,native_l2,cLogP,101,21,21,True,False,False,False,True,True,False,False,False,False,0.08381404052084443,0.046407922077922346,-0.9219544457292888,-0.32996650218570045,0.9219544457292888,0.07753770315341357,0.2,0.5238095238095238,0.5238095238095238,0.2826086956521739,1.0,0.47619047619047616
ChemSpacE released-ZINC protocol,native_l2,cLogP,102,21,21,True,False,False,False,True,True,False,False,False,True,0.8939543243578246,0.91217090909091,0.9152389511282492,0.273873801861651,0.9152389511282492,0.19001208602800973,0.5,0.47619047619047616,0.47619047619047616,1.0,0.0,
ChemSpacE released-ZINC protocol,native_l2,cLogP,103,21,21,True,False,False,True,True,True,False,False,False,True,0.8933625976362295,0.7144361038961049,-0.5983070608022454,-0.686651183598735,-0.8687746362333973,-0.22354193494389868,0.75,0.8571428571428571,0.8571428571428571,0.3333333333333333,1.0,0.14285714285714285
ChemSpacE released-ZINC protocol,native_l2,cLogP,104,21,21,True,True,True,False,True,True,False,False,False,False,0.9639609842834818,0.5130971428571444,0.34152915376081433,0.405800075828247,-0.07881442009864947,-0.07085226262343237,0.65,0.6190476190476191,0.6190476190476191,0.6097560975609756,0.9047619047619048,0.631578947368421
ChemSpacE released-ZINC protocol,native_l2,cLogP,105,21,21,True,False,False,True,True,True,False,False,True,True,0.9200677800658372,1.0440306493506508,0.6542704213801508,0.6126461142994142,0.5029703864359909,0.1892956647103161,0.6,0.5714285714285714,0.5714285714285714,0.66,0.0,
ChemSpacE released-ZINC protocol,native_l2,cLogP,106,21,21,True,False,False,False,True,True,False,False,False,False,-0.45307666444810524,-0.4208745454545453,0.6007756651933025,0.3222266150710193,-0.07784136525760398,-0.06457573141687721,0.5,0.9047619047619048,0.9047619047619048,0.1666666666666666,1.0,0.09523809523809523
ChemSpacE released-ZINC protocol,native_l2,cLogP,107,21,21,True,False,False,True,True,True,False,False,False,False,0.7236773101944296,0.4809818181818189,0.9152389511282492,1.0337975755684672,0.9152389511282492,0.7024931275192423,0.5,0.9523809523809523,0.9523809523809523,0.4705882352941176,1.0,0.047619047619047616
ChemSpacE released-ZINC protocol,native_l2,cLogP,108,21,21,True,False,False,True,True,True,False,False,False,True,0.1324102244257124,0.3022597402597406,0.7944613465542745,0.472717310307542,0.1324102244257124,0.007277855227795768,0.15,0.2857142857142857,0.2857142857142857,1.0,1.0,0.7142857142857143
ChemSpacE released-ZINC protocol,native_l2,cLogP,109,21,21,True,False,False,False,True,True,False,False,False,False,0.02900655207921862,-0.2290571428571424,0.02900655207921862,0.12841661609270894,-0.17336474149672526,-0.09739939356712161,0.4,0.7619047619047619,0.7619047619047619,0.0909090909090909,0.0,
ChemSpacE released-ZINC protocol,native_l2,cLogP,110,21,21,True,False,False,False,True,True,False,False,False,True,0.8060107468816048,2.243976363636367,0.9740129869264056,1.001323728301913,0.8020106935472048,0.8081660213117723,0.95,0.9047619047619048,0.9047619047619048,0.1037735849056603,1.0,0.09523809523809523
ChemSpacE released-ZINC protocol,native_l2,cLogP,111,21,21,True,False,False,True,True,True,False,False,False,False,0.25440233353849767,0.3487038961038964,0.7965712410795583,0.388046097770128,0.03753477052207343,-0.029605190763270145,0.5,0.7619047619047619,0.7619047619047619,0.1666666666666666,1.0,0.23809523809523808
ChemSpacE released-ZINC protocol,native_l2,cLogP,112,21,21,True,False,False,False,True,True,False,False,False,False,0.5144715455714829,0.17630389610389624,0.46508227719662043,0.21505728944854285,0.9082137684488578,0.14901469643621051,0.4,0.6190476190476191,0.6190476190476191,0.8245614035087719,1.0,0.6190476190476191
ChemSpacE released-ZINC protocol,native_l2,cLogP,113,21,21,True,False,False,False,True,True,False,False,False,False,0.7777046593437401,0.8510493506493518,-0.8062069243458667,-1.03889186827415,-0.7858481636300619,-0.32158937212740474,0.5,0.9047619047619048,0.9047619047619048,0.5735294117647058,1.0,0.09523809523809523
ChemSpacE released-ZINC protocol,native_l2,cLogP,114,21,21,True,True,True,True,True,True,True,True,True,True,0.9219544457292888,0.37541558441558565,0.7050239879106327,0.17056615004576323,0.7050239879106327,0.0728154753238529,0.85,0.8095238095238095,0.8095238095238095,0.4307692307692308,1.0,0.19047619047619047
ChemSpacE released-ZINC protocol,native_l2,cLogP,115,21,21,True,True,True,True,True,True,True,True,True,True,0.9588954684847141,1.0241688311688317,-0.008126232783768766,0.10805248858613438,-0.9588954684847141,-0.20847090455013584,0.65,0.6190476190476191,0.6190476190476191,0.5652173913043478,0.8095238095238095,0.47058823529411764
ChemSpacE released-ZINC protocol,native_l2,cLogP,116,21,21,True,False,False,False,True,True,False,False,True,True,-0.9120799495129949,-3.400571428571432,-0.8217889722990247,-3.1402275188806223,-0.793573041919659,-1.5521010041061203,0.0,0.47619047619047616,0.47619047619047616,1.0,1.0,0.5238095238095238
ChemSpacE released-ZINC protocol,native_l2,cLogP,117,21,21,True,False,False,False,True,True,False,False,False,False,0.8496741055093207,1.3948758441558462,0.2774309628531613,0.13873132676314276,0.8897846061627896,0.5068767525435723,0.85,0.8095238095238095,0.8095238095238095,0.2048192771084337,1.0,0.19047619047619047
ChemSpacE released-ZINC protocol,native_l2,cLogP,118,21,21,True,False,False,False,True,True,False,False,False,False,0.6898875788525806,1.4371693506493524,-0.05582905262390825,-0.3917512546765929,-0.03190231578509044,-0.05163707321207438,0.55,0.8095238095238095,0.8095238095238095,0.2976190476190476,1.0,0.19047619047619047
ChemSpacE released-ZINC protocol,native_l2,cLogP,119,21,21,True,False,False,False,True,True,False,False,False,True,-0.8783455980595135,-0.18726493506493563,0.3618386550972148,0.3361273668723597,0.3618386550972148,0.11406523108925172,0.0,0.47619047619047616,0.47619047619047616,1.0,1.0,0.5238095238095238
ChemSpacE released-ZINC protocol,native_l2,cLogP,120,21,21,True,False,False,False,True,True,False,False,False,False,-0.6839219372859305,-0.6341336363636371,-0.4871772703954574,-0.2886046910529328,0.17399188228409196,0.4357633705358189,0.1,0.6190476190476191,0.6190476190476191,0.3275862068965517,0.8095238095238095,0.47058823529411764
ChemSpacE released-ZINC protocol,native_l2,cLogP,121,21,21,True,False,False,False,True,True,False,False,False,True,0.872543741289235,2.0445481818181848,0.6379447165086387,0.4172256723175564,-0.6996813019772167,-0.46537371465494004,0.65,0.9047619047619048,0.9047619047619048,0.1621621621621621,1.0,0.09523809523809523
ChemSpacE released-ZINC protocol,native_l2,cLogP,122,21,21,True,False,False,False,True,True,False,False,False,False,-0.0523612713911985,0.30971558441558567,-0.5925091236372461,-1.119907101020303,-0.6035325491932879,-0.327611068857243,0.2,0.6190476190476191,0.6190476190476191,0.3229166666666667,1.0,0.38095238095238093
ChemSpacE released-ZINC protocol,native_l2,cLogP,123,21,21,True,False,False,False,True,True,False,False,False,False,-0.19811927995270245,-0.5261662337662337,-0.5307476362612531,-0.3884007951902442,-0.2524529955250155,-0.1616552239711168,0.3,0.7619047619047619,0.7619047619047619,0.1134020618556701,0.5714285714285714,0.4166666666666667
