direction_name,direction_kind,alpha,valid_count,median_clogp,q25_clogp,q75_clogp,median_fixed_graph_size_residual,q25_fixed_graph_size_residual,q75_fixed_graph_size_residual,median_fixed_graph_size_residual_change_from_seed
raw::cLogP,raw_property,7.575757575757564,50,3.2390400000000015,2.3599250000000005,4.401600000000003,0.13549777133547147,-0.27662107084902865,0.5736028282612629,0.0
raw::cLogP,raw_property,10.606060606060597,50,3.2936500000000017,2.3599250000000005,4.401600000000003,0.13549777133547147,-0.27662107084902865,0.5736028282612629,0.0
raw::cLogP,raw_property,13.636363636363626,50,3.3730000000000016,2.3599250000000005,4.401600000000003,0.13549777133547147,-0.27662107084902865,0.5658645208464417,0.0
raw::cLogP,raw_property,16.666666666666657,50,3.831000000000002,2.4311750000000005,4.423200000000003,0.18155941328293257,-0.2989069351589302,0.6300569117672759,0.0
raw::cLogP,raw_property,19.69696969696969,50,4.011700000000002,2.614650000000001,4.7853350000000034,0.3091809491618789,-0.26928199860203206,0.7303890090580119,0.0
raw::cLogP,raw_property,22.72727272727272,50,4.061790000000004,2.4311750000000005,5.231060000000004,0.3582876201183933,-0.26928199860203206,0.7528675610639339,0.0
raw::cLogP,raw_property,25.75757575757575,50,4.256800000000003,2.636625000000001,5.465215000000004,0.3449755341212839,-0.1564612885155192,0.7528675610639339,0.0
raw::cLogP,raw_property,28.787878787878785,50,4.547960000000003,2.9329500000000013,5.849672500000005,0.4122922881804283,-0.06882341683866555,0.9676124506410402,0.27392624462966886
raw::cLogP,raw_property,31.818181818181813,50,4.730995000000004,3.5869750000000025,6.060190000000006,0.3792830639028444,0.07441068145043972,0.9870737767697697,0.4096577427829633
raw::cLogP,raw_property,34.848484848484844,50,5.265490000000005,3.923600000000002,6.311665000000006,0.5522680006987521,0.05728373886016036,1.0025848792642056,0.2756738623048314
raw::cLogP,raw_property,37.87878787878788,50,5.360440000000006,3.8465350000000016,6.556325000000006,0.5666151020041272,0.01112766349007066,0.9921309074627622,0.3066857695254612
raw::cLogP,raw_property,40.90909090909091,50,5.851810000000005,4.2466500000000025,6.9481000000000055,0.583298928144683,0.031654823413586164,1.0114529040144946,0.2724739166201722
raw::cLogP,raw_property,43.93939393939394,50,5.883800000000006,4.241265000000004,7.155215000000006,0.7091780614021543,0.07062329580104365,1.1207923239588462,0.33304081231858107
raw::cLogP,raw_property,46.96969696969697,50,6.1699000000000055,3.8742700000000023,7.200595000000004,0.5501113411431631,0.10257846672646742,1.2673705425262056,0.47169969943005774
raw::cLogP,raw_property,50.0,50,6.294190000000006,3.835450000000003,6.9491950000000084,0.350499633186129,-0.010090536807271455,1.1979112243062666,0.4195961286844474
raw::cLogP,raw_property,53.03030303030303,50,6.470595000000007,4.2405000000000035,7.301697500000008,0.7183219236031375,-0.10184436042235984,1.2563431739977067,0.41638600862155384
raw::cLogP,raw_property,56.06060606060606,50,6.436150000000007,4.576735000000004,8.092800000000006,0.49862495603809087,-0.1662395113826649,1.3064059812065008,0.4233308658077888
raw::cLogP,raw_property,59.09090909090909,50,6.484590000000006,4.398635000000003,8.083950000000007,0.5675689353819493,0.12795426427243173,1.2682151272797666,0.5805807158836334
raw::cLogP,raw_property,62.121212121212125,50,7.021500000000007,4.282935000000004,8.279325000000004,0.8547198120625237,0.12388319155348648,1.329429911987912,0.5999711266606831
raw::cLogP,raw_property,65.15151515151516,50,7.0475000000000065,4.889150000000004,8.254275000000005,0.7999921540512629,0.05600113285261832,1.381078207189527,0.544454573888052
raw::cLogP,raw_property,68.18181818181819,50,7.968650000000007,5.562275000000005,8.920670000000001,0.8424929122374776,0.3800308822048395,1.448012585301641,0.6919412753084835
raw::cLogP,raw_property,71.21212121212122,50,8.211400000000006,6.031175000000006,9.033075,0.9280845075741819,0.3714534528027402,1.6099548573309974,0.9760029166802116
raw::cLogP,raw_property,74.24242424242425,50,8.112650000000007,6.817550000000007,9.179050000000004,0.8427645012696536,0.3621458057944482,1.4099086282062818,0.8286752834276669
raw::cLogP,raw_property,77.27272727272728,50,8.455700000000006,7.238525000000006,9.198045,1.0516213955378908,0.3514946846405995,1.6917063465762658,0.8369275101684162
raw::cLogP,raw_property,80.30303030303031,50,8.554145000000005,7.238525000000006,9.709799999999996,1.0084750428340592,0.4994511119981959,1.6917063465762658,0.9915343623503623
raw::cLogP,raw_property,83.33333333333334,50,8.599145000000004,6.907200000000006,10.016804999999993,1.0497463677022472,0.397645109965447,1.704351742165529,1.0331111792378853
raw::cLogP,raw_property,86.36363636363637,50,9.031405000000003,8.008475000000006,9.821139999999996,1.1526655166614193,0.6676619651561913,1.6474035137786731,0.9404728104656264
raw::cLogP,raw_property,89.3939393939394,50,9.03351,7.8855000000000075,10.133824999999991,1.0476447652144159,0.6526604157272682,1.461167329257478,0.9481519278658512
raw::cLogP,raw_property,92.42424242424244,50,9.479135,8.401200000000003,10.56887999999999,1.1514728144738569,0.5980076792325844,1.5814677263935666,0.9595851086457559
raw::cLogP,raw_property,95.45454545454544,50,9.769994999999996,8.643010000000002,10.49372249999999,0.9941337097216829,0.4021723227852405,1.604281619063288,0.9595851086457559
raw::cLogP,raw_property,98.48484848484848,50,9.529939999999996,8.327325000000005,10.330622499999992,1.2239051310842415,0.37865596084567255,1.768319067601422,1.1225338861047711
raw::cLogP,raw_property,101.5151515151515,50,9.860509999999996,8.433000000000005,11.392699999999984,1.149383362606419,0.4325890239217378,1.9002233162763837,1.060752719497029
raw::cLogP,raw_property,104.54545454545452,50,10.232899999999994,8.8968,11.768717499999983,1.3178547704312535,0.633557943905646,1.9089207409231848,1.0973377809217575
raw::cLogP,raw_property,107.57575757575756,50,10.72044499999999,9.468694999999997,11.577899999999984,1.4578505730259623,0.6773312730850889,2.0801192655837317,1.3754379737150935
raw::cLogP,raw_property,110.60606060606062,50,10.549594999999993,9.463099999999995,12.24897499999998,1.3945572985607138,0.8084842657824405,2.055250954384213,1.2381382342001486
raw::cLogP,raw_property,113.63636363636364,50,11.297849999999986,9.910372499999996,13.335797499999973,1.6521127695262394,0.8222630356403813,2.409770826198373,1.531052637396412
raw::cLogP,raw_property,116.66666666666669,50,11.74689999999998,10.182642499999991,16.591974999999962,1.942071290909075,1.0898737054013372,2.903727894795648,1.8787353663570867
raw::cLogP,raw_property,119.69696969696967,50,11.97689499999998,10.155017499999992,17.268699999999964,1.9572302884741406,1.1054928686072731,3.021304146718328,1.8964556634589635
raw::cLogP,raw_property,122.72727272727276,50,12.21789999999998,10.597949999999992,18.494814999999985,1.961724242131778,1.1337751330617163,3.2464296680161,1.806494134768284
raw::cLogP,raw_property,125.75757575757576,50,13.104299999999975,10.29317499999999,36.42321500000001,2.50326734143702,1.3163337593937565,5.559970957202106,2.6614253103048275
raw::cLogP,raw_property,128.7878787878788,50,13.195999999999975,10.885297499999988,36.15487500000002,2.365502046683599,1.4056686352231966,5.629489699674565,2.855551722306825
raw::cLogP,raw_property,131.8181818181818,50,18.17345999999997,11.329499999999983,38.085134999999994,3.355677070805643,1.6800153883603133,8.345119314363119,3.641187684894437
raw::cLogP,raw_property,134.84848484848487,50,20.341249999999995,10.679992499999988,41.404917499999925,3.0504214229058073,1.6243053881891423,9.008921464914083,3.934940577732787
raw::cLogP,raw_property,137.87878787878788,50,27.875850000000064,11.547542499999983,44.56819999999988,3.1898173040282076,1.9424532777905812,10.710472068513536,3.979651458269431
raw::cLogP,raw_property,140.90909090909088,50,34.82980000000004,10.17944999999999,48.813599999999795,5.040886973307419,1.5511168478829114,13.234689795872315,5.1207709810591275
raw::cLogP,raw_property,143.93939393939394,50,36.64114000000002,11.73367499999998,51.198374999999764,6.337664477616308,2.117926081288849,14.941786313374468,6.570711533053546
raw::cLogP,raw_property,146.96969696969694,50,45.805694999999844,12.12314999999998,53.23694999999972,10.67059760197317,1.8675312783006128,16.49448988104651,10.036181593877838
raw::cLogP,raw_property,150.0,50,47.126599999999826,19.996449999999996,55.17724999999969,11.419186656430043,3.5767534016550977,16.700131273010435,10.838944092384864
residual::cLogP,residual_property,-150.0,50,-2.4216699999999967,-3.142769999999996,-1.2796449999999995,-1.7846216884393156,-2.49737030464527,-0.9789895130314268,-1.958129765151978
residual::cLogP,residual_property,-146.96969696969697,50,-2.4322099999999978,-3.8832449999999987,-1.5321699999999985,-1.924102777113083,-2.9347931029861143,-1.1114360577455433,-2.2066532402515495
