direction_name,direction_kind,focus_property,alpha,sample_count,valid_count,validity,unique_valid_canonical_count,unique_canonical_fraction_among_valid,changed_evaluable_count,exact_changed_from_seed_fraction,seed_similarity_evaluable_count,seed_tanimoto_median,seed_tanimoto_q25,seed_tanimoto_q75,scaffold_evaluable_count,scaffold_retention,training_novelty_070_evaluable_count,training_novelty_at_070,training_neighbor_ge_070_count,nearest_training_similarity_median_among_hits_ge_070,nearest_training_similarity_note
raw::BertzCT,raw_property,BertzCT,-7.575757575757564,50,50,1.0,50,1.0,50,0.06,50,1.0,1.0,1.0,50,0.94,50,0.1,45,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-4.545454545454561,50,50,1.0,50,1.0,50,0.04,50,1.0,1.0,1.0,50,0.96,50,0.08,46,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,-1.5151515151515298,50,50,1.0,50,1.0,50,0.04,50,1.0,1.0,1.0,50,0.96,50,0.08,46,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,1.5151515151515014,50,50,1.0,50,1.0,50,0.04,50,1.0,1.0,1.0,50,0.96,50,0.08,46,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,4.5454545454545325,50,50,1.0,50,1.0,50,0.08,50,1.0,1.0,1.0,50,0.92,50,0.12,44,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,7.575757575757564,50,50,1.0,50,1.0,50,0.08,50,1.0,1.0,1.0,50,0.94,50,0.1,45,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,10.606060606060597,50,50,1.0,50,1.0,50,0.26,50,1.0,0.8227272727272728,1.0,50,0.84,50,0.26,37,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,13.636363636363626,50,50,1.0,50,1.0,50,0.4,50,1.0,0.6027757619738752,1.0,50,0.74,50,0.38,31,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,16.666666666666657,50,50,1.0,50,1.0,50,0.58,50,0.6536264282165921,0.4357758620689655,1.0,50,0.58,50,0.56,22,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,19.69696969696969,50,50,1.0,50,1.0,50,0.7,50,0.5378571428571428,0.32835090361445785,1.0,50,0.38,50,0.68,16,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
